"date","q.cms","av.depth.m_slice1","max.depth.m_slice1","av.vel.ms_slice1","total.shear.Pa_slice1","total.power.watt.ms_slice1","av.depth.m_slice2","max.depth.m_slice2","av.vel.ms_slice2","total.shear.Pa_slice2","total.power.watt.ms_slice2","av.depth.m_slice3","max.depth.m_slice3","av.vel.ms_slice3","total.shear.Pa_slice3","total.power.watt.ms_slice3"
"07/01/2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"07/02/2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"07/03/2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"07/04/2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"07/05/2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"07/06/2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"07/07/2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"07/08/2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"07/09/2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"07/10/2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"07/11/2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"07/12/2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"07/13/2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"07/14/2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"07/15/2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"07/16/2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"07/17/2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"07/18/2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"07/19/2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"07/20/2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"07/21/2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"07/22/2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"07/23/2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"07/24/2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"07/25/2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"07/26/2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"07/27/2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"07/28/2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"07/29/2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"07/30/2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"07/31/2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08/01/2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08/02/2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08/03/2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08/04/2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08/05/2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08/06/2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08/07/2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08/08/2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08/09/2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08/10/2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08/11/2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08/12/2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08/13/2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08/14/2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08/15/2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08/16/2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08/17/2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08/18/2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08/19/2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08/20/2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08/21/2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08/22/2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08/23/2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08/24/2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08/25/2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08/26/2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08/27/2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08/28/2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08/29/2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08/30/2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
