date,q.cms,av.depth.m_slice1,max.depth.m_slice1,av.vel.ms_slice1,total.shear.Pa_slice1,total.power.watt.ms_slice1,av.depth.m_slice2,max.depth.m_slice2,av.vel.ms_slice2,total.shear.Pa_slice2,total.power.watt.ms_slice2,av.depth.m_slice3,max.depth.m_slice3,av.vel.ms_slice3,total.shear.Pa_slice3,total.power.watt.ms_slice3,av.depth.m_slice4,max.depth.m_slice4,av.vel.ms_slice4,total.shear.Pa_slice4,total.power.watt.ms_slice4
10/1/93,0.076187763,0,0,0,0,0,0,0,0,0,0,0.071228328,0.12492002,0.446302826,6.847962863,3.05943041,0,0,0,0,0
10/2/93,0.072330403,0,0,0,0,0,0,0,0,0,0,0.068609241,0.122300934,0.433792876,6.619331265,2.87792405,0,0,0,0,0
10/3/93,0.083827274,0,0,0,0,0,0,0,0,0,0,0.076042295,0.129733987,0.468077183,7.263108335,3.410021084,0,0,0,0,0
10/4/93,0.109140666,0,0,0,0,0,0,0,0,0,0,0.090951771,0.144643463,0.532823126,8.53360385,4.547264718,0,0,0,0,0
10/5/93,0.086092985,0,0,0,0,0,0,0,0,0,0,0.077470011,0.131161704,0.474534979,7.386231347,3.513998564,0,0,0,0,0
10/6/93,0.056149214,0,0,0,0,0,0,0,0,0,0,0.05677104,0.110462732,0.373572614,5.574455161,2.093988802,0,0,0,0,0
10/7/93,0.053218102,0,0,0,0,0,0,0,0,0,0,0.054395872,0.108087564,0.360319372,5.361969637,1.945251199,0,0,0,0,0
10/8/93,0.083273234,0,0,0,0,0,0,0,0,0,0,0.075693172,0.129384864,0.466498043,7.233000764,3.384595217,0,0,0,0,0
10/9/93,0.088787812,0,0,0,0,0,0,0,0,0,0,0.079168132,0.132859824,0.482215855,7.532673366,3.637668963,0,0,0,0,0
10/10/93,0.070559442,0,0,0,0,0,0,0,0,0,0,0.06735979,0.121051483,0.427671357,6.509620507,2.793473437,0,0,0,0,0
10/11/93,0.073788636,0,0,0,0,0,0,0,0,0,0,0.069638055,0.123329748,0.438833415,6.709668527,2.94746178,0,0,0,0,0
10/12/93,0.077496894,0,0,0,0,0,0,0,0,0,0,0.072053265,0.125744957,0.450034149,6.919103515,3.119508747,0,0,0,0,0
10/13/93,0.068801761,0,0,0,0,0,0,0,0,0,0,0.066119709,0.119811401,0.421595741,6.400732433,2.709656091,0,0,0,0,0
10/14/93,0.086750313,0,0,0,0,0,0,0,0,0,0,0.077884221,0.131575913,0.476408516,7.421951833,3.544164541,0,0,0,0,0
10/15/93,0.069007912,0,0,0,0,0,0,0,0,0,0,0.066265152,0.119956844,0.422308322,6.413503417,2.719486644,0,0,0,0,0
