"","month_year","water_year","month","season","position","Node","Probability_Threshold","n_days","Species","Life_Stage","Hydraulic"
"1",Jan 2000,2000,1,"non_critical","slice1","L02-040","ID01",1,"Willow","Germination","Depth"
"2",Jan 2000,2000,1,"non_critical","slice2","L02-040","ID01",1,"Willow","Germination","Depth"
"3",Jan 2000,2000,1,"non_critical","slice3","L02-040","ID01",1,"Willow","Germination","Depth"
"4",Jan 2001,2001,1,"non_critical","slice1","L02-040","ID01",1,"Willow","Germination","Depth"
"5",Jan 2001,2001,1,"non_critical","slice3","L02-040","ID01",1,"Willow","Germination","Depth"
"6",Jan 2002,2002,1,"non_critical","slice1","L02-040","ID01",1,"Willow","Germination","Depth"
"7",Jan 2002,2002,1,"non_critical","slice3","L02-040","ID01",1,"Willow","Germination","Depth"
"8",Jan 2003,2003,1,"non_critical","slice1","L02-040","ID01",1,"Willow","Germination","Depth"
"9",Jan 2003,2003,1,"non_critical","slice3","L02-040","ID01",1,"Willow","Germination","Depth"
"10",Jan 2004,2004,1,"non_critical","slice1","L02-040","ID01",1,"Willow","Germination","Depth"
"11",Jan 2004,2004,1,"non_critical","slice3","L02-040","ID01",1,"Willow","Germination","Depth"
"12",Feb 2000,2000,2,"non_critical","slice1","L02-040","ID01",1,"Willow","Germination","Depth"
"13",Feb 2000,2000,2,"non_critical","slice2","L02-040","ID01",1,"Willow","Germination","Depth"
"14",Feb 2000,2000,2,"non_critical","slice3","L02-040","ID01",1,"Willow","Germination","Depth"
"15",Feb 2001,2001,2,"non_critical","slice1","L02-040","ID01",1,"Willow","Germination","Depth"
"16",Feb 2001,2001,2,"non_critical","slice3","L02-040","ID01",1,"Willow","Germination","Depth"
"17",Feb 2002,2002,2,"non_critical","slice1","L02-040","ID01",1,"Willow","Germination","Depth"
"18",Feb 2002,2002,2,"non_critical","slice3","L02-040","ID01",1,"Willow","Germination","Depth"
"19",Feb 2003,2003,2,"non_critical","slice1","L02-040","ID01",1,"Willow","Germination","Depth"
"20",Feb 2003,2003,2,"non_critical","slice3","L02-040","ID01",1,"Willow","Germination","Depth"
"21",Feb 2004,2004,2,"non_critical","slice1","L02-040","ID01",1,"Willow","Germination","Depth"
"22",Feb 2004,2004,2,"non_critical","slice3","L02-040","ID01",1,"Willow","Germination","Depth"
"23",Mar 2000,2000,3,"non_critical","slice1","L02-040","ID01",1,"Willow","Germination","Depth"
"24",Mar 2000,2000,3,"non_critical","slice3","L02-040","ID01",1,"Willow","Germination","Depth"
"25",Mar 2001,2001,3,"non_critical","slice1","L02-040","ID01",1,"Willow","Germination","Depth"
"26",Mar 2001,2001,3,"non_critical","slice3","L02-040","ID01",1,"Willow","Germination","Depth"
"27",Mar 2002,2002,3,"non_critical","slice1","L02-040","ID01",1,"Willow","Germination","Depth"
"28",Mar 2002,2002,3,"non_critical","slice3","L02-040","ID01",1,"Willow","Germination","Depth"
"29",Mar 2003,2003,3,"non_critical","slice1","L02-040","ID01",1,"Willow","Germination","Depth"
"30",Mar 2003,2003,3,"non_critical","slice3","L02-040","ID01",1,"Willow","Germination","Depth"
"31",Apr 2000,2000,4,"critical","slice1","L02-040","ID01",1,"Willow","Germination","Depth"
"32",Apr 2000,2000,4,"critical","slice3","L02-040","ID01",1,"Willow","Germination","Depth"
"33",Apr 2001,2001,4,"critical","slice1","L02-040","ID01",1,"Willow","Germination","Depth"
"34",Apr 2001,2001,4,"critical","slice3","L02-040","ID01",1,"Willow","Germination","Depth"
"35",Apr 2002,2002,4,"critical","slice1","L02-040","ID01",1,"Willow","Germination","Depth"
"36",Apr 2002,2002,4,"critical","slice3","L02-040","ID01",1,"Willow","Germination","Depth"
"37",Apr 2003,2003,4,"critical","slice1","L02-040","ID01",1,"Willow","Germination","Depth"
"38",Apr 2003,2003,4,"critical","slice3","L02-040","ID01",1,"Willow","Germination","Depth"
"39",May 2000,2000,5,"critical","slice1","L02-040","ID01",1,"Willow","Germination","Depth"
"40",May 2000,2000,5,"critical","slice3","L02-040","ID01",1,"Willow","Germination","Depth"
"41",May 2001,2001,5,"critical","slice1","L02-040","ID01",1,"Willow","Germination","Depth"
"42",May 2001,2001,5,"critical","slice3","L02-040","ID01",1,"Willow","Germination","Depth"
"43",May 2002,2002,5,"critical","slice1","L02-040","ID01",1,"Willow","Germination","Depth"
"44",May 2002,2002,5,"critical","slice3","L02-040","ID01",1,"Willow","Germination","Depth"
"45",May 2003,2003,5,"critical","slice1","L02-040","ID01",1,"Willow","Germination","Depth"
"46",May 2003,2003,5,"critical","slice3","L02-040","ID01",1,"Willow","Germination","Depth"
"47",Jun 2000,2000,6,"critical","slice1","L02-040","ID01",1,"Willow","Germination","Depth"
"48",Jun 2000,2000,6,"critical","slice3","L02-040","ID01",1,"Willow","Germination","Depth"
"49",Jun 2001,2001,6,"critical","slice1","L02-040","ID01",1,"Willow","Germination","Depth"
"50",Jun 2001,2001,6,"critical","slice3","L02-040","ID01",1,"Willow","Germination","Depth"
"51",Jun 2002,2002,6,"critical","slice1","L02-040","ID01",1,"Willow","Germination","Depth"
"52",Jun 2002,2002,6,"critical","slice3","L02-040","ID01",1,"Willow","Germination","Depth"
"53",Jun 2003,2003,6,"critical","slice1","L02-040","ID01",1,"Willow","Germination","Depth"
"54",Jun 2003,2003,6,"critical","slice3","L02-040","ID01",1,"Willow","Germination","Depth"
"55",Jul 1999,1999,7,"critical","slice1","L02-040","ID01",1,"Willow","Germination","Depth"
"56",Jul 1999,1999,7,"critical","slice2","L02-040","ID01",1,"Willow","Germination","Depth"
"57",Jul 1999,1999,7,"critical","slice3","L02-040","ID01",1,"Willow","Germination","Depth"
"58",Jul 1999,1999,7,"critical","slice4","L02-040","ID01",1,"Willow","Germination","Depth"
"59",Jul 2000,2000,7,"critical","slice1","L02-040","ID01",1,"Willow","Germination","Depth"
"60",Jul 2000,2000,7,"critical","slice3","L02-040","ID01",1,"Willow","Germination","Depth"
"61",Jul 2001,2001,7,"critical","slice1","L02-040","ID01",1,"Willow","Germination","Depth"
"62",Jul 2001,2001,7,"critical","slice3","L02-040","ID01",1,"Willow","Germination","Depth"
"63",Jul 2002,2002,7,"critical","slice1","L02-040","ID01",1,"Willow","Germination","Depth"
"64",Jul 2002,2002,7,"critical","slice3","L02-040","ID01",1,"Willow","Germination","Depth"
"65",Jul 2003,2003,7,"critical","slice1","L02-040","ID01",1,"Willow","Germination","Depth"
"66",Jul 2003,2003,7,"critical","slice3","L02-040","ID01",1,"Willow","Germination","Depth"
"67",Aug 1999,1999,8,"critical","slice1","L02-040","ID01",1,"Willow","Germination","Depth"
"68",Aug 1999,1999,8,"critical","slice2","L02-040","ID01",1,"Willow","Germination","Depth"
"69",Aug 1999,1999,8,"critical","slice3","L02-040","ID01",1,"Willow","Germination","Depth"
"70",Aug 1999,1999,8,"critical","slice4","L02-040","ID01",1,"Willow","Germination","Depth"
"71",Aug 2000,2000,8,"critical","slice1","L02-040","ID01",1,"Willow","Germination","Depth"
"72",Aug 2000,2000,8,"critical","slice3","L02-040","ID01",1,"Willow","Germination","Depth"
"73",Aug 2001,2001,8,"critical","slice1","L02-040","ID01",1,"Willow","Germination","Depth"
"74",Aug 2001,2001,8,"critical","slice3","L02-040","ID01",1,"Willow","Germination","Depth"
"75",Aug 2002,2002,8,"critical","slice1","L02-040","ID01",1,"Willow","Germination","Depth"
"76",Aug 2002,2002,8,"critical","slice3","L02-040","ID01",1,"Willow","Germination","Depth"
"77",Aug 2003,2003,8,"critical","slice1","L02-040","ID01",1,"Willow","Germination","Depth"
"78",Aug 2003,2003,8,"critical","slice3","L02-040","ID01",1,"Willow","Germination","Depth"
"79",Sep 1999,1999,9,"critical","slice1","L02-040","ID01",1,"Willow","Germination","Depth"
"80",Sep 1999,1999,9,"critical","slice2","L02-040","ID01",1,"Willow","Germination","Depth"
"81",Sep 1999,1999,9,"critical","slice3","L02-040","ID01",1,"Willow","Germination","Depth"
"82",Sep 1999,1999,9,"critical","slice4","L02-040","ID01",1,"Willow","Germination","Depth"
"83",Sep 2000,2000,9,"critical","slice1","L02-040","ID01",1,"Willow","Germination","Depth"
"84",Sep 2000,2000,9,"critical","slice3","L02-040","ID01",1,"Willow","Germination","Depth"
"85",Sep 2001,2001,9,"critical","slice1","L02-040","ID01",1,"Willow","Germination","Depth"
"86",Sep 2001,2001,9,"critical","slice3","L02-040","ID01",1,"Willow","Germination","Depth"
"87",Sep 2002,2002,9,"critical","slice1","L02-040","ID01",1,"Willow","Germination","Depth"
"88",Sep 2002,2002,9,"critical","slice3","L02-040","ID01",1,"Willow","Germination","Depth"
"89",Sep 2003,2003,9,"critical","slice1","L02-040","ID01",1,"Willow","Germination","Depth"
"90",Sep 2003,2003,9,"critical","slice3","L02-040","ID01",1,"Willow","Germination","Depth"
"91",Oct 2000,2000,10,"non_critical","slice1","L02-040","ID01",1,"Willow","Germination","Depth"
"92",Oct 2000,2000,10,"non_critical","slice2","L02-040","ID01",1,"Willow","Germination","Depth"
"93",Oct 2000,2000,10,"non_critical","slice3","L02-040","ID01",1,"Willow","Germination","Depth"
"94",Oct 2000,2000,10,"non_critical","slice4","L02-040","ID01",1,"Willow","Germination","Depth"
"95",Oct 2001,2001,10,"non_critical","slice1","L02-040","ID01",1,"Willow","Germination","Depth"
"96",Oct 2001,2001,10,"non_critical","slice3","L02-040","ID01",1,"Willow","Germination","Depth"
"97",Oct 2002,2002,10,"non_critical","slice1","L02-040","ID01",1,"Willow","Germination","Depth"
"98",Oct 2002,2002,10,"non_critical","slice3","L02-040","ID01",1,"Willow","Germination","Depth"
"99",Oct 2003,2003,10,"non_critical","slice1","L02-040","ID01",1,"Willow","Germination","Depth"
"100",Oct 2003,2003,10,"non_critical","slice3","L02-040","ID01",1,"Willow","Germination","Depth"
"101",Oct 2004,2004,10,"non_critical","slice1","L02-040","ID01",1,"Willow","Germination","Depth"
"102",Oct 2004,2004,10,"non_critical","slice3","L02-040","ID01",1,"Willow","Germination","Depth"
"103",Nov 2000,2000,11,"non_critical","slice1","L02-040","ID01",1,"Willow","Germination","Depth"
"104",Nov 2000,2000,11,"non_critical","slice2","L02-040","ID01",1,"Willow","Germination","Depth"
"105",Nov 2000,2000,11,"non_critical","slice3","L02-040","ID01",1,"Willow","Germination","Depth"
"106",Nov 2001,2001,11,"non_critical","slice1","L02-040","ID01",1,"Willow","Germination","Depth"
"107",Nov 2001,2001,11,"non_critical","slice3","L02-040","ID01",1,"Willow","Germination","Depth"
"108",Nov 2002,2002,11,"non_critical","slice1","L02-040","ID01",1,"Willow","Germination","Depth"
"109",Nov 2002,2002,11,"non_critical","slice3","L02-040","ID01",1,"Willow","Germination","Depth"
"110",Nov 2003,2003,11,"non_critical","slice1","L02-040","ID01",1,"Willow","Germination","Depth"
"111",Nov 2003,2003,11,"non_critical","slice3","L02-040","ID01",1,"Willow","Germination","Depth"
"112",Nov 2004,2004,11,"non_critical","slice1","L02-040","ID01",1,"Willow","Germination","Depth"
"113",Nov 2004,2004,11,"non_critical","slice3","L02-040","ID01",1,"Willow","Germination","Depth"
"114",Dec 2000,2000,12,"non_critical","slice1","L02-040","ID01",1,"Willow","Germination","Depth"
"115",Dec 2000,2000,12,"non_critical","slice2","L02-040","ID01",1,"Willow","Germination","Depth"
"116",Dec 2000,2000,12,"non_critical","slice3","L02-040","ID01",1,"Willow","Germination","Depth"
"117",Dec 2001,2001,12,"non_critical","slice1","L02-040","ID01",1,"Willow","Germination","Depth"
"118",Dec 2001,2001,12,"non_critical","slice3","L02-040","ID01",1,"Willow","Germination","Depth"
"119",Dec 2002,2002,12,"non_critical","slice1","L02-040","ID01",1,"Willow","Germination","Depth"
"120",Dec 2002,2002,12,"non_critical","slice3","L02-040","ID01",1,"Willow","Germination","Depth"
"121",Dec 2003,2003,12,"non_critical","slice1","L02-040","ID01",1,"Willow","Germination","Depth"
"122",Dec 2003,2003,12,"non_critical","slice3","L02-040","ID01",1,"Willow","Germination","Depth"
"123",Dec 2004,2004,12,"non_critical","slice1","L02-040","ID01",1,"Willow","Germination","Depth"
"124",Dec 2004,2004,12,"non_critical","slice3","L02-040","ID01",1,"Willow","Germination","Depth"
"125",Feb 2000,2000,2,"non_critical","slice2","L02-040","ID01",2,"Willow","Germination","Depth"
"126",Feb 2004,2004,2,"non_critical","slice1","L02-040","ID01",2,"Willow","Germination","Depth"
"127",Feb 2004,2004,2,"non_critical","slice3","L02-040","ID01",2,"Willow","Germination","Depth"
"128",Oct 2000,2000,10,"non_critical","slice4","L02-040","ID01",2,"Willow","Germination","Depth"
"129",Jan 2005,2005,1,"non_critical","slice1","L02-040","ID01",3,"Willow","Germination","Depth"
"130",Jan 2005,2005,1,"non_critical","slice3","L02-040","ID01",3,"Willow","Germination","Depth"
"131",Jan 2006,2006,1,"non_critical","slice1","L02-040","ID01",3,"Willow","Germination","Depth"
"132",Jan 2006,2006,1,"non_critical","slice3","L02-040","ID01",3,"Willow","Germination","Depth"
"133",Jan 2007,2007,1,"non_critical","slice1","L02-040","ID01",3,"Willow","Germination","Depth"
"134",Jan 2007,2007,1,"non_critical","slice3","L02-040","ID01",3,"Willow","Germination","Depth"
"135",Jan 2008,2008,1,"non_critical","slice1","L02-040","ID01",3,"Willow","Germination","Depth"
