"","month_year","water_year","month","season","position","Node","Probability_Threshold","n_days","Species","Life_Stage","Hydraulic"
"1",Jan 2000,2000,1,"non_critical","slice1","L02-010","ID01",1,"Willow","Seedling","Depth"
"2",Jan 2000,2000,1,"non_critical","slice2","L02-010","ID01",1,"Willow","Seedling","Depth"
"3",Jan 2000,2000,1,"non_critical","slice3","L02-010","ID01",1,"Willow","Seedling","Depth"
"4",Jan 2001,2001,1,"non_critical","slice1","L02-010","ID01",1,"Willow","Seedling","Depth"
"5",Jan 2002,2002,1,"non_critical","slice1","L02-010","ID01",1,"Willow","Seedling","Depth"
"6",Jan 2003,2003,1,"non_critical","slice1","L02-010","ID01",1,"Willow","Seedling","Depth"
"7",Jan 2004,2004,1,"non_critical","slice1","L02-010","ID01",1,"Willow","Seedling","Depth"
"8",Feb 2000,2000,2,"non_critical","slice1","L02-010","ID01",1,"Willow","Seedling","Depth"
"9",Feb 2001,2001,2,"non_critical","slice1","L02-010","ID01",1,"Willow","Seedling","Depth"
"10",Feb 2002,2002,2,"non_critical","slice1","L02-010","ID01",1,"Willow","Seedling","Depth"
"11",Feb 2003,2003,2,"non_critical","slice1","L02-010","ID01",1,"Willow","Seedling","Depth"
"12",Mar 2000,2000,3,"non_critical","slice1","L02-010","ID01",1,"Willow","Seedling","Depth"
"13",Mar 2001,2001,3,"non_critical","slice1","L02-010","ID01",1,"Willow","Seedling","Depth"
"14",Mar 2002,2002,3,"non_critical","slice1","L02-010","ID01",1,"Willow","Seedling","Depth"
"15",Mar 2003,2003,3,"non_critical","slice1","L02-010","ID01",1,"Willow","Seedling","Depth"
"16",Apr 2000,2000,4,"critical","slice1","L02-010","ID01",1,"Willow","Seedling","Depth"
"17",Apr 2001,2001,4,"critical","slice1","L02-010","ID01",1,"Willow","Seedling","Depth"
"18",Apr 2002,2002,4,"critical","slice1","L02-010","ID01",1,"Willow","Seedling","Depth"
"19",Apr 2003,2003,4,"critical","slice1","L02-010","ID01",1,"Willow","Seedling","Depth"
"20",May 2000,2000,5,"critical","slice1","L02-010","ID01",1,"Willow","Seedling","Depth"
"21",May 2001,2001,5,"critical","slice1","L02-010","ID01",1,"Willow","Seedling","Depth"
"22",May 2002,2002,5,"critical","slice1","L02-010","ID01",1,"Willow","Seedling","Depth"
"23",May 2003,2003,5,"critical","slice1","L02-010","ID01",1,"Willow","Seedling","Depth"
"24",Jun 2000,2000,6,"critical","slice1","L02-010","ID01",1,"Willow","Seedling","Depth"
"25",Jun 2001,2001,6,"critical","slice1","L02-010","ID01",1,"Willow","Seedling","Depth"
"26",Jun 2002,2002,6,"critical","slice1","L02-010","ID01",1,"Willow","Seedling","Depth"
"27",Jun 2003,2003,6,"critical","slice1","L02-010","ID01",1,"Willow","Seedling","Depth"
"28",Jul 1999,1999,7,"critical","slice1","L02-010","ID01",1,"Willow","Seedling","Depth"
"29",Jul 1999,1999,7,"critical","slice2","L02-010","ID01",1,"Willow","Seedling","Depth"
"30",Jul 1999,1999,7,"critical","slice3","L02-010","ID01",1,"Willow","Seedling","Depth"
"31",Jul 2000,2000,7,"critical","slice1","L02-010","ID01",1,"Willow","Seedling","Depth"
