"","month_year","water_year","month","season","position","Node","Probability_Threshold","n_days","Species","Life_Stage","Hydraulic"
"1",Jan 2000,2000,1,"non_critical","slice1","L02-010","ID01",1,"Willow","Seedling","Depth"
"2",Feb 2000,2000,2,"non_critical","slice1","L02-010","ID01",1,"Willow","Seedling","Depth"
"3",Jul 1999,1999,7,"critical","slice1","L02-010","ID01",1,"Willow","Seedling","Depth"
"4",Jul 1999,1999,7,"critical","slice2","L02-010","ID01",1,"Willow","Seedling","Depth"
"5",Jul 1999,1999,7,"critical","slice3","L02-010","ID01",1,"Willow","Seedling","Depth"
"6",Aug 1999,1999,8,"critical","slice1","L02-010","ID01",1,"Willow","Seedling","Depth"
"7",Aug 1999,1999,8,"critical","slice2","L02-010","ID01",1,"Willow","Seedling","Depth"
"8",Aug 1999,1999,8,"critical","slice3","L02-010","ID01",1,"Willow","Seedling","Depth"
"9",Sep 1999,1999,9,"critical","slice1","L02-010","ID01",1,"Willow","Seedling","Depth"
"10",Sep 1999,1999,9,"critical","slice2","L02-010","ID01",1,"Willow","Seedling","Depth"
"11",Sep 1999,1999,9,"critical","slice3","L02-010","ID01",1,"Willow","Seedling","Depth"
"12",Oct 2000,2000,10,"non_critical","slice1","L02-010","ID01",1,"Willow","Seedling","Depth"
"13",Oct 2000,2000,10,"non_critical","slice2","L02-010","ID01",1,"Willow","Seedling","Depth"
"14",Oct 2000,2000,10,"non_critical","slice3","L02-010","ID01",1,"Willow","Seedling","Depth"
"15",Nov 2000,2000,11,"non_critical","slice1","L02-010","ID01",1,"Willow","Seedling","Depth"
"16",Dec 2000,2000,12,"non_critical","slice1","L02-010","ID01",1,"Willow","Seedling","Depth"
"17",Feb 2000,2000,2,"non_critical","slice1","L02-010","ID01",2,"Willow","Seedling","Depth"
"18",Oct 2000,2000,10,"non_critical","slice2","L02-010","ID01",2,"Willow","Seedling","Depth"
"19",Oct 2000,2000,10,"non_critical","slice3","L02-010","ID01",2,"Willow","Seedling","Depth"
"20",Jan 2001,2001,1,"non_critical","slice1","L02-010","ID01",3,"Willow","Seedling","Depth"
"21",Jan 2002,2002,1,"non_critical","slice1","L02-010","ID01",3,"Willow","Seedling","Depth"
"22",Feb 2000,2000,2,"non_critical","slice1","L02-010","ID01",3,"Willow","Seedling","Depth"
"23",Feb 2001,2001,2,"non_critical","slice1","L02-010","ID01",3,"Willow","Seedling","Depth"
"24",Feb 2002,2002,2,"non_critical","slice1","L02-010","ID01",3,"Willow","Seedling","Depth"
"25",Mar 2000,2000,3,"non_critical","slice1","L02-010","ID01",3,"Willow","Seedling","Depth"
"26",Mar 2001,2001,3,"non_critical","slice1","L02-010","ID01",3,"Willow","Seedling","Depth"
"27",Apr 2000,2000,4,"critical","slice1","L02-010","ID01",3,"Willow","Seedling","Depth"
"28",Apr 2001,2001,4,"critical","slice1","L02-010","ID01",3,"Willow","Seedling","Depth"
"29",May 2000,2000,5,"critical","slice1","L02-010","ID01",3,"Willow","Seedling","Depth"
"30",May 2001,2001,5,"critical","slice1","L02-010","ID01",3,"Willow","Seedling","Depth"
"31",Jun 2000,2000,6,"critical","slice1","L02-010","ID01",3,"Willow","Seedling","Depth"
"32",Jun 2001,2001,6,"critical","slice1","L02-010","ID01",3,"Willow","Seedling","Depth"
"33",Jul 2000,2000,7,"critical","slice1","L02-010","ID01",3,"Willow","Seedling","Depth"
"34",Jul 2001,2001,7,"critical","slice1","L02-010","ID01",3,"Willow","Seedling","Depth"
"35",Aug 2000,2000,8,"critical","slice1","L02-010","ID01",3,"Willow","Seedling","Depth"
"36",Aug 2001,2001,8,"critical","slice1","L02-010","ID01",3,"Willow","Seedling","Depth"
"37",Sep 2000,2000,9,"critical","slice1","L02-010","ID01",3,"Willow","Seedling","Depth"
"38",Sep 2001,2001,9,"critical","slice1","L02-010","ID01",3,"Willow","Seedling","Depth"
"39",Oct 2000,2000,10,"non_critical","slice2","L02-010","ID01",3,"Willow","Seedling","Depth"
"40",Oct 2000,2000,10,"non_critical","slice3","L02-010","ID01",3,"Willow","Seedling","Depth"
"41",Oct 2001,2001,10,"non_critical","slice1","L02-010","ID01",3,"Willow","Seedling","Depth"
"42",Oct 2002,2002,10,"non_critical","slice1","L02-010","ID01",3,"Willow","Seedling","Depth"
"43",Nov 2001,2001,11,"non_critical","slice1","L02-010","ID01",3,"Willow","Seedling","Depth"
"44",Nov 2002,2002,11,"non_critical","slice1","L02-010","ID01",3,"Willow","Seedling","Depth"
"45",Dec 2001,2001,12,"non_critical","slice1","L02-010","ID01",3,"Willow","Seedling","Depth"
"46",Dec 2002,2002,12,"non_critical","slice1","L02-010","ID01",3,"Willow","Seedling","Depth"
"47",Feb 2002,2002,2,"non_critical","slice1","L02-010","ID01",4,"Willow","Seedling","Depth"
"48",Oct 2000,2000,10,"non_critical","slice2","L02-010","ID01",4,"Willow","Seedling","Depth"
"49",Oct 2000,2000,10,"non_critical","slice3","L02-010","ID01",4,"Willow","Seedling","Depth"
"50",Jan 2000,2000,1,"non_critical","slice2","L02-010","ID01",5,"Willow","Seedling","Depth"
"51",Jan 2000,2000,1,"non_critical","slice3","L02-010","ID01",5,"Willow","Seedling","Depth"
"52",Feb 2002,2002,2,"non_critical","slice1","L02-010","ID01",5,"Willow","Seedling","Depth"
"53",Mar 2002,2002,3,"non_critical","slice1","L02-010","ID01",5,"Willow","Seedling","Depth"
"54",Oct 2000,2000,10,"non_critical","slice2","L02-010","ID01",5,"Willow","Seedling","Depth"
"55",Oct 2000,2000,10,"non_critical","slice3","L02-010","ID01",5,"Willow","Seedling","Depth"
"56",Nov 2000,2000,11,"non_critical","slice2","L02-010","ID01",5,"Willow","Seedling","Depth"
"57",Nov 2000,2000,11,"non_critical","slice3","L02-010","ID01",5,"Willow","Seedling","Depth"
"58",Dec 2000,2000,12,"non_critical","slice2","L02-010","ID01",5,"Willow","Seedling","Depth"
"59",Dec 2000,2000,12,"non_critical","slice3","L02-010","ID01",5,"Willow","Seedling","Depth"
"60",Jan 2000,2000,1,"non_critical","slice2","L02-010","ID01",6,"Willow","Seedling","Depth"
"61",Jan 2000,2000,1,"non_critical","slice3","L02-010","ID01",6,"Willow","Seedling","Depth"
"62",Mar 2002,2002,3,"non_critical","slice1","L02-010","ID01",6,"Willow","Seedling","Depth"
"63",Jan 2000,2000,1,"non_critical","slice2","L02-010","ID01",7,"Willow","Seedling","Depth"
"64",Jan 2000,2000,1,"non_critical","slice3","L02-010","ID01",7,"Willow","Seedling","Depth"
"65",Jan 2003,2003,1,"non_critical","slice1","L02-010","ID01",7,"Willow","Seedling","Depth"
"66",Feb 2003,2003,2,"non_critical","slice1","L02-010","ID01",7,"Willow","Seedling","Depth"
"67",Mar 2002,2002,3,"non_critical","slice1","L02-010","ID01",7,"Willow","Seedling","Depth"
"68",Apr 2002,2002,4,"critical","slice1","L02-010","ID01",7,"Willow","Seedling","Depth"
"69",May 2002,2002,5,"critical","slice1","L02-010","ID01",7,"Willow","Seedling","Depth"
"70",Jun 2002,2002,6,"critical","slice1","L02-010","ID01",7,"Willow","Seedling","Depth"
"71",Jul 2002,2002,7,"critical","slice1","L02-010","ID01",7,"Willow","Seedling","Depth"
"72",Aug 2002,2002,8,"critical","slice1","L02-010","ID01",7,"Willow","Seedling","Depth"
"73",Sep 2002,2002,9,"critical","slice1","L02-010","ID01",7,"Willow","Seedling","Depth"
"74",Oct 2003,2003,10,"non_critical","slice1","L02-010","ID01",7,"Willow","Seedling","Depth"
"75",Nov 2003,2003,11,"non_critical","slice1","L02-010","ID01",7,"Willow","Seedling","Depth"
"76",Dec 2003,2003,12,"non_critical","slice1","L02-010","ID01",7,"Willow","Seedling","Depth"
"77",Jan 2000,2000,1,"non_critical","slice2","L02-010","ID01",8,"Willow","Seedling","Depth"
"78",Jan 2000,2000,1,"non_critical","slice3","L02-010","ID01",8,"Willow","Seedling","Depth"
"79",Feb 2003,2003,2,"non_critical","slice1","L02-010","ID01",8,"Willow","Seedling","Depth"
"80",Jan 2000,2000,1,"non_critical","slice2","L02-010","ID01",9,"Willow","Seedling","Depth"
"81",Jan 2000,2000,1,"non_critical","slice3","L02-010","ID01",9,"Willow","Seedling","Depth"
"82",Feb 2000,2000,2,"non_critical","slice2","L02-010","ID01",9,"Willow","Seedling","Depth"
"83",Feb 2000,2000,2,"non_critical","slice3","L02-010","ID01",9,"Willow","Seedling","Depth"
"84",Feb 2003,2003,2,"non_critical","slice1","L02-010","ID01",9,"Willow","Seedling","Depth"
"85",Mar 2003,2003,3,"non_critical","slice1","L02-010","ID01",9,"Willow","Seedling","Depth"
"86",Apr 2003,2003,4,"critical","slice1","L02-010","ID01",9,"Willow","Seedling","Depth"
"87",May 2003,2003,5,"critical","slice1","L02-010","ID01",9,"Willow","Seedling","Depth"
"88",Jun 2003,2003,6,"critical","slice1","L02-010","ID01",9,"Willow","Seedling","Depth"
"89",Jul 2003,2003,7,"critical","slice1","L02-010","ID01",9,"Willow","Seedling","Depth"
"90",Aug 2003,2003,8,"critical","slice1","L02-010","ID01",9,"Willow","Seedling","Depth"
"91",Sep 2003,2003,9,"critical","slice1","L02-010","ID01",9,"Willow","Seedling","Depth"
"92",Oct 2004,2004,10,"non_critical","slice1","L02-010","ID01",9,"Willow","Seedling","Depth"
"93",Feb 2000,2000,2,"non_critical","slice2","L02-010","ID01",10,"Willow","Seedling","Depth"
"94",Feb 2000,2000,2,"non_critical","slice3","L02-010","ID01",10,"Willow","Seedling","Depth"
"95",Oct 2004,2004,10,"non_critical","slice1","L02-010","ID01",10,"Willow","Seedling","Depth"
"96",Jan 2004,2004,1,"non_critical","slice1","L02-010","ID01",11,"Willow","Seedling","Depth"
"97",Feb 2000,2000,2,"non_critical","slice2","L02-010","ID01",11,"Willow","Seedling","Depth"
"98",Feb 2000,2000,2,"non_critical","slice3","L02-010","ID01",11,"Willow","Seedling","Depth"
"99",Oct 2004,2004,10,"non_critical","slice1","L02-010","ID01",11,"Willow","Seedling","Depth"
"100",Nov 2004,2004,11,"non_critical","slice1","L02-010","ID01",11,"Willow","Seedling","Depth"
"101",Dec 2004,2004,12,"non_critical","slice1","L02-010","ID01",11,"Willow","Seedling","Depth"
"102",Jan 2004,2004,1,"non_critical","slice1","L02-010","ID01",12,"Willow","Seedling","Depth"
"103",Feb 2000,2000,2,"non_critical","slice2","L02-010","ID01",12,"Willow","Seedling","Depth"
"104",Feb 2000,2000,2,"non_critical","slice3","L02-010","ID01",12,"Willow","Seedling","Depth"
"105",Jan 2004,2004,1,"non_critical","slice1","L02-010","ID01",13,"Willow","Seedling","Depth"
"106",Feb 2000,2000,2,"non_critical","slice2","L02-010","ID01",13,"Willow","Seedling","Depth"
"107",Feb 2000,2000,2,"non_critical","slice3","L02-010","ID01",13,"Willow","Seedling","Depth"
"108",Feb 2004,2004,2,"non_critical","slice1","L02-010","ID01",13,"Willow","Seedling","Depth"
"109",Mar 2000,2000,3,"non_critical","slice2","L02-010","ID01",13,"Willow","Seedling","Depth"
"110",Mar 2000,2000,3,"non_critical","slice3","L02-010","ID01",13,"Willow","Seedling","Depth"
"111",Apr 2000,2000,4,"critical","slice3","L02-010","ID01",13,"Willow","Seedling","Depth"
"112",Feb 2004,2004,2,"non_critical","slice1","L02-010","ID01",14,"Willow","Seedling","Depth"
"113",Mar 2000,2000,3,"non_critical","slice2","L02-010","ID01",14,"Willow","Seedling","Depth"
"114",Apr 2000,2000,4,"critical","slice3","L02-010","ID01",14,"Willow","Seedling","Depth"
"115",Feb 2004,2004,2,"non_critical","slice1","L02-010","ID01",15,"Willow","Seedling","Depth"
"116",Mar 2000,2000,3,"non_critical","slice2","L02-010","ID01",15,"Willow","Seedling","Depth"
"117",Apr 2000,2000,4,"critical","slice2","L02-010","ID01",15,"Willow","Seedling","Depth"
"118",Apr 2000,2000,4,"critical","slice3","L02-010","ID01",15,"Willow","Seedling","Depth"
"119",May 2000,2000,5,"critical","slice3","L02-010","ID01",15,"Willow","Seedling","Depth"
"120",Jun 2000,2000,6,"critical","slice3","L02-010","ID01",15,"Willow","Seedling","Depth"
"121",Jul 2000,2000,7,"critical","slice3","L02-010","ID01",15,"Willow","Seedling","Depth"
"122",Aug 2000,2000,8,"critical","slice3","L02-010","ID01",15,"Willow","Seedling","Depth"
"123",Sep 2000,2000,9,"critical","slice3","L02-010","ID01",15,"Willow","Seedling","Depth"
"124",Oct 2001,2001,10,"non_critical","slice3","L02-010","ID01",15,"Willow","Seedling","Depth"
"125",Nov 2001,2001,11,"non_critical","slice3","L02-010","ID01",15,"Willow","Seedling","Depth"
"126",Feb 2004,2004,2,"non_critical","slice1","L02-010","ID01",16,"Willow","Seedling","Depth"
"127",Apr 2000,2000,4,"critical","slice2","L02-010","ID01",16,"Willow","Seedling","Depth"
"128",Nov 2001,2001,11,"non_critical","slice3","L02-010","ID01",16,"Willow","Seedling","Depth"
"129",Jan 2001,2001,1,"non_critical","slice3","L02-010","ID01",17,"Willow","Seedling","Depth"
"130",Feb 2001,2001,2,"non_critical","slice3","L02-010","ID01",17,"Willow","Seedling","Depth"
"131",Feb 2004,2004,2,"non_critical","slice1","L02-010","ID01",17,"Willow","Seedling","Depth"
"132",Mar 2001,2001,3,"non_critical","slice3","L02-010","ID01",17,"Willow","Seedling","Depth"
"133",Apr 2000,2000,4,"critical","slice2","L02-010","ID01",17,"Willow","Seedling","Depth"
"134",Apr 2001,2001,4,"critical","slice3","L02-010","ID01",17,"Willow","Seedling","Depth"
"135",May 2000,2000,5,"critical","slice2","L02-010","ID01",17,"Willow","Seedling","Depth"
"136",May 2001,2001,5,"critical","slice3","L02-010","ID01",17,"Willow","Seedling","Depth"
"137",Jun 2000,2000,6,"critical","slice2","L02-010","ID01",17,"Willow","Seedling","Depth"
"138",Jun 2001,2001,6,"critical","slice3","L02-010","ID01",17,"Willow","Seedling","Depth"
"139",Jul 2000,2000,7,"critical","slice2","L02-010","ID01",17,"Willow","Seedling","Depth"
"140",Jul 2001,2001,7,"critical","slice3","L02-010","ID01",17,"Willow","Seedling","Depth"
"141",Aug 2000,2000,8,"critical","slice2","L02-010","ID01",17,"Willow","Seedling","Depth"
"142",Aug 2001,2001,8,"critical","slice3","L02-010","ID01",17,"Willow","Seedling","Depth"
"143",Sep 2000,2000,9,"critical","slice2","L02-010","ID01",17,"Willow","Seedling","Depth"
"144",Sep 2001,2001,9,"critical","slice3","L02-010","ID01",17,"Willow","Seedling","Depth"
"145",Oct 2001,2001,10,"non_critical","slice2","L02-010","ID01",17,"Willow","Seedling","Depth"
"146",Oct 2002,2002,10,"non_critical","slice3","L02-010","ID01",17,"Willow","Seedling","Depth"
"147",Nov 2001,2001,11,"non_critical","slice2","L02-010","ID01",17,"Willow","Seedling","Depth"
