"","season","position","water_year","Node","Probability_Threshold","value","Species","Life_Stage","Hydraulic"
"1","Summer","slice1",1999,"L01-080","Seasonal",0,"Chub","Adult","Depth"
"2","Winter","slice1",2000,"L01-080","Seasonal",0,"Chub","Adult","Depth"
"3","Summer","slice1",2000,"L01-080","Seasonal",0,"Chub","Adult","Depth"
"4","Winter","slice1",2001,"L01-080","Seasonal",0,"Chub","Adult","Depth"
"5","Summer","slice1",2001,"L01-080","Seasonal",0,"Chub","Adult","Depth"
"6","Winter","slice1",2002,"L01-080","Seasonal",0,"Chub","Adult","Depth"
"7","Summer","slice1",2002,"L01-080","Seasonal",0,"Chub","Adult","Depth"
"8","Winter","slice1",2003,"L01-080","Seasonal",0,"Chub","Adult","Depth"
"9","Summer","slice1",2003,"L01-080","Seasonal",0,"Chub","Adult","Depth"
"10","Winter","slice1",2004,"L01-080","Seasonal",0,"Chub","Adult","Depth"
"11","Summer","slice1",2004,"L01-080","Seasonal",0,"Chub","Adult","Depth"
"12","Winter","slice1",2005,"L01-080","Seasonal",0,"Chub","Adult","Depth"
"13","Summer","slice1",2005,"L01-080","Seasonal",0,"Chub","Adult","Depth"
"14","Winter","slice1",2006,"L01-080","Seasonal",0,"Chub","Adult","Depth"
"15","Summer","slice1",2006,"L01-080","Seasonal",0,"Chub","Adult","Depth"
"16","Winter","slice1",2007,"L01-080","Seasonal",0,"Chub","Adult","Depth"
"17","Summer","slice1",2007,"L01-080","Seasonal",0,"Chub","Adult","Depth"
"18","Winter","slice1",2008,"L01-080","Seasonal",0,"Chub","Adult","Depth"
"19","Summer","slice1",2008,"L01-080","Seasonal",0,"Chub","Adult","Depth"
"20","Winter","slice1",2009,"L01-080","Seasonal",0,"Chub","Adult","Depth"
"21","Summer","slice1",2009,"L01-080","Seasonal",0,"Chub","Adult","Depth"
"22","Winter","slice1",2010,"L01-080","Seasonal",0,"Chub","Adult","Depth"
"23","Summer","slice1",2010,"L01-080","Seasonal",0,"Chub","Adult","Depth"
"24","Winter","slice1",2011,"L01-080","Seasonal",0,"Chub","Adult","Depth"
"25","Summer","slice1",2011,"L01-080","Seasonal",0,"Chub","Adult","Depth"
"26","Winter","slice1",2012,"L01-080","Seasonal",0,"Chub","Adult","Depth"
"27","Summer","slice1",2012,"L01-080","Seasonal",0,"Chub","Adult","Depth"
"28","Winter","slice1",2013,"L01-080","Seasonal",0,"Chub","Adult","Depth"
"29","Summer","slice1",2013,"L01-080","Seasonal",0,"Chub","Adult","Depth"
