"","season","position","water_year","Node","Probability_Threshold","value","Species","Life_Stage","Hydraulic"
"1","non_critical","slice1",1993,"J01-020","Seasonal",98.5927152317881,"Toad","Breeding/Eggs","Velocity"
"2","critical","slice1",1993,"J01-020","Seasonal",99.4353582554517,"Toad","Breeding/Eggs","Velocity"
"3","non_critical","slice1",1994,"J01-020","Seasonal",94.6743929359823,"Toad","Breeding/Eggs","Velocity"
"4","critical","slice1",1994,"J01-020","Seasonal",97.8582554517134,"Toad","Breeding/Eggs","Velocity"
"5","non_critical","slice1",1995,"J01-020","Seasonal",97.6699561403509,"Toad","Breeding/Eggs","Velocity"
"6","critical","slice1",1995,"J01-020","Seasonal",99.4353582554517,"Toad","Breeding/Eggs","Velocity"
"7","non_critical","slice1",1996,"J01-020","Seasonal",95.3090507726269,"Toad","Breeding/Eggs","Velocity"
"8","critical","slice1",1996,"J01-020","Seasonal",100,"Toad","Breeding/Eggs","Velocity"
"9","non_critical","slice1",1997,"J01-020","Seasonal",91.3907284768212,"Toad","Breeding/Eggs","Velocity"
"10","critical","slice1",1997,"J01-020","Seasonal",98.4423676012461,"Toad","Breeding/Eggs","Velocity"
"11","non_critical","slice1",1998,"J01-020","Seasonal",98.7858719646799,"Toad","Breeding/Eggs","Velocity"
"12","critical","slice1",1998,"J01-020","Seasonal",99.5911214953271,"Toad","Breeding/Eggs","Velocity"
"13","non_critical","slice1",1999,"J01-020","Seasonal",98.4923245614035,"Toad","Breeding/Eggs","Velocity"
"14","critical","slice1",1999,"J01-020","Seasonal",99.3380062305296,"Toad","Breeding/Eggs","Velocity"
"15","non_critical","slice1",2000,"J01-020","Seasonal",96.4403973509934,"Toad","Breeding/Eggs","Velocity"
"16","critical","slice1",2000,"J01-020","Seasonal",99.8442367601246,"Toad","Breeding/Eggs","Velocity"
"17","non_critical","slice1",2001,"J01-020","Seasonal",99.5860927152318,"Toad","Breeding/Eggs","Velocity"
"18","critical","slice1",2001,"J01-020","Seasonal",100,"Toad","Breeding/Eggs","Velocity"
"19","non_critical","slice1",2002,"J01-020","Seasonal",96.7439293598234,"Toad","Breeding/Eggs","Velocity"
"20","critical","slice1",2002,"J01-020","Seasonal",98.5786604361371,"Toad","Breeding/Eggs","Velocity"
"21","non_critical","slice1",2003,"J01-020","Seasonal",98.4649122807018,"Toad","Breeding/Eggs","Velocity"
"22","critical","slice1",2003,"J01-020","Seasonal",99.7663551401869,"Toad","Breeding/Eggs","Velocity"
"23","non_critical","slice1",2004,"J01-020","Seasonal",88.3002207505519,"Toad","Breeding/Eggs","Velocity"
"24","critical","slice1",2004,"J01-020","Seasonal",99.5716510903427,"Toad","Breeding/Eggs","Velocity"
"25","non_critical","slice1",2005,"J01-020","Seasonal",99.0618101545254,"Toad","Breeding/Eggs","Velocity"
"26","critical","slice1",2005,"J01-020","Seasonal",99.2211838006231,"Toad","Breeding/Eggs","Velocity"
"27","non_critical","slice1",2006,"J01-020","Seasonal",99.9172185430464,"Toad","Breeding/Eggs","Velocity"
"28","critical","slice1",2006,"J01-020","Seasonal",99.8831775700935,"Toad","Breeding/Eggs","Velocity"
"29","non_critical","slice1",2007,"J01-020","Seasonal",97.4506578947368,"Toad","Breeding/Eggs","Velocity"
"30","critical","slice1",2007,"J01-020","Seasonal",100,"Toad","Breeding/Eggs","Velocity"
"31","non_critical","slice1",2008,"J01-020","Seasonal",96.8818984547461,"Toad","Breeding/Eggs","Velocity"
"32","critical","slice1",2008,"J01-020","Seasonal",100,"Toad","Breeding/Eggs","Velocity"
"33","non_critical","slice1",2009,"J01-020","Seasonal",95.7781456953642,"Toad","Breeding/Eggs","Velocity"
"34","critical","slice1",2009,"J01-020","Seasonal",99.9026479750779,"Toad","Breeding/Eggs","Velocity"
"35","non_critical","slice1",2010,"J01-020","Seasonal",94.6743929359823,"Toad","Breeding/Eggs","Velocity"
"36","critical","slice1",2010,"J01-020","Seasonal",99.5132398753894,"Toad","Breeding/Eggs","Velocity"
"37","non_critical","slice1",2011,"J01-020","Seasonal",99.0131578947368,"Toad","Breeding/Eggs","Velocity"
"38","critical","slice1",2011,"J01-020","Seasonal",99.4158878504673,"Toad","Breeding/Eggs","Velocity"
"39","non_critical","slice1",2012,"J01-020","Seasonal",99.2549668874172,"Toad","Breeding/Eggs","Velocity"
"40","critical","slice1",2012,"J01-020","Seasonal",99.7079439252336,"Toad","Breeding/Eggs","Velocity"
"41","non_critical","slice1",2013,"J01-020","Seasonal",99.0342163355408,"Toad","Breeding/Eggs","Velocity"
"42","critical","slice1",2013,"J01-020","Seasonal",99.5327102803738,"Toad","Breeding/Eggs","Velocity"
"43","non_critical","slice1",2014,"J01-020","Seasonal",98.0408388520971,"Toad","Breeding/Eggs","Velocity"
