"","position","water_year","Node","season","Probability_Threshold","value","Species","Life_Stage","Hydraulic"
"1","slice1",1993,"J01-030","non_critical","Seasonal",100,"Toad","Tadpole","Depth"
"2","slice1",1993,"J01-030","critical","Seasonal",100,"Toad","Tadpole","Depth"
"3","slice1",1994,"J01-030","non_critical","Seasonal",99.8344370860927,"Toad","Tadpole","Depth"
"4","slice1",1994,"J01-030","critical","Seasonal",99.9415887850467,"Toad","Tadpole","Depth"
"5","slice1",1995,"J01-030","non_critical","Seasonal",100,"Toad","Tadpole","Depth"
"6","slice1",1995,"J01-030","critical","Seasonal",100,"Toad","Tadpole","Depth"
"7","slice1",1996,"J01-030","non_critical","Seasonal",100,"Toad","Tadpole","Depth"
"8","slice1",1996,"J01-030","critical","Seasonal",100,"Toad","Tadpole","Depth"
"9","slice1",1997,"J01-030","non_critical","Seasonal",99.7792494481236,"Toad","Tadpole","Depth"
"10","slice1",1997,"J01-030","critical","Seasonal",99.9610591900312,"Toad","Tadpole","Depth"
"11","slice1",1998,"J01-030","non_critical","Seasonal",100,"Toad","Tadpole","Depth"
"12","slice1",1998,"J01-030","critical","Seasonal",100,"Toad","Tadpole","Depth"
"13","slice1",1999,"J01-030","non_critical","Seasonal",100,"Toad","Tadpole","Depth"
"14","slice1",1999,"J01-030","critical","Seasonal",100,"Toad","Tadpole","Depth"
"15","slice1",2000,"J01-030","non_critical","Seasonal",100,"Toad","Tadpole","Depth"
"16","slice1",2000,"J01-030","critical","Seasonal",100,"Toad","Tadpole","Depth"
"17","slice1",2001,"J01-030","non_critical","Seasonal",100,"Toad","Tadpole","Depth"
"18","slice1",2001,"J01-030","critical","Seasonal",100,"Toad","Tadpole","Depth"
"19","slice1",2002,"J01-030","non_critical","Seasonal",100,"Toad","Tadpole","Depth"
"20","slice1",2002,"J01-030","critical","Seasonal",100,"Toad","Tadpole","Depth"
"21","slice1",2003,"J01-030","non_critical","Seasonal",100,"Toad","Tadpole","Depth"
