"","season","position","water_year","Node","Probability_Threshold","value","Species","Life_Stage","Hydraulic"
"1","non_critical","slice1",1993,"J01-091","Seasonal",100,"Toad","Tadpole","Velocity"
"2","critical","slice1",1993,"J01-091","Seasonal",100,"Toad","Tadpole","Velocity"
"3","non_critical","slice1",1994,"J01-091","Seasonal",99.8344370860927,"Toad","Tadpole","Velocity"
"4","critical","slice1",1994,"J01-091","Seasonal",99.9610591900312,"Toad","Tadpole","Velocity"
"5","non_critical","slice1",1995,"J01-091","Seasonal",100,"Toad","Tadpole","Velocity"
"6","critical","slice1",1995,"J01-091","Seasonal",100,"Toad","Tadpole","Velocity"
"7","non_critical","slice1",1996,"J01-091","Seasonal",99.9448123620309,"Toad","Tadpole","Velocity"
"8","critical","slice1",1996,"J01-091","Seasonal",100,"Toad","Tadpole","Velocity"
"9","non_critical","slice1",1997,"J01-091","Seasonal",99.7792494481236,"Toad","Tadpole","Velocity"
"10","critical","slice1",1997,"J01-091","Seasonal",99.9805295950156,"Toad","Tadpole","Velocity"
"11","non_critical","slice1",1998,"J01-091","Seasonal",100,"Toad","Tadpole","Velocity"
"12","critical","slice1",1998,"J01-091","Seasonal",100,"Toad","Tadpole","Velocity"
"13","non_critical","slice1",1999,"J01-091","Seasonal",100,"Toad","Tadpole","Velocity"
"14","critical","slice1",1999,"J01-091","Seasonal",100,"Toad","Tadpole","Velocity"
"15","non_critical","slice1",2000,"J01-091","Seasonal",100,"Toad","Tadpole","Velocity"
"16","critical","slice1",2000,"J01-091","Seasonal",100,"Toad","Tadpole","Velocity"
"17","non_critical","slice1",2001,"J01-091","Seasonal",100,"Toad","Tadpole","Velocity"
"18","critical","slice1",2001,"J01-091","Seasonal",100,"Toad","Tadpole","Velocity"
"19","non_critical","slice1",2002,"J01-091","Seasonal",100,"Toad","Tadpole","Velocity"
"20","critical","slice1",2002,"J01-091","Seasonal",100,"Toad","Tadpole","Velocity"
"21","non_critical","slice1",2003,"J01-091","Seasonal",100,"Toad","Tadpole","Velocity"
"22","critical","slice1",2003,"J01-091","Seasonal",100,"Toad","Tadpole","Velocity"
"23","non_critical","slice1",2004,"J01-091","Seasonal",99.8068432671082,"Toad","Tadpole","Velocity"
"24","critical","slice1",2004,"J01-091","Seasonal",100,"Toad","Tadpole","Velocity"
"25","non_critical","slice1",2005,"J01-091","Seasonal",100,"Toad","Tadpole","Velocity"
"26","critical","slice1",2005,"J01-091","Seasonal",100,"Toad","Tadpole","Velocity"
"27","non_critical","slice1",2006,"J01-091","Seasonal",100,"Toad","Tadpole","Velocity"
"28","critical","slice1",2006,"J01-091","Seasonal",100,"Toad","Tadpole","Velocity"
"29","non_critical","slice1",2007,"J01-091","Seasonal",99.9177631578947,"Toad","Tadpole","Velocity"
"30","critical","slice1",2007,"J01-091","Seasonal",100,"Toad","Tadpole","Velocity"
"31","non_critical","slice1",2008,"J01-091","Seasonal",100,"Toad","Tadpole","Velocity"
"32","critical","slice1",2008,"J01-091","Seasonal",100,"Toad","Tadpole","Velocity"
"33","non_critical","slice1",2009,"J01-091","Seasonal",99.9172185430464,"Toad","Tadpole","Velocity"
"34","critical","slice1",2009,"J01-091","Seasonal",100,"Toad","Tadpole","Velocity"
"35","non_critical","slice1",2010,"J01-091","Seasonal",99.7516556291391,"Toad","Tadpole","Velocity"
"36","critical","slice1",2010,"J01-091","Seasonal",100,"Toad","Tadpole","Velocity"
"37","non_critical","slice1",2011,"J01-091","Seasonal",100,"Toad","Tadpole","Velocity"
"38","critical","slice1",2011,"J01-091","Seasonal",100,"Toad","Tadpole","Velocity"
"39","non_critical","slice1",2012,"J01-091","Seasonal",100,"Toad","Tadpole","Velocity"
"40","critical","slice1",2012,"J01-091","Seasonal",100,"Toad","Tadpole","Velocity"
"41","non_critical","slice1",2013,"J01-091","Seasonal",100,"Toad","Tadpole","Velocity"
"42","critical","slice1",2013,"J01-091","Seasonal",100,"Toad","Tadpole","Velocity"
"43","non_critical","slice1",2014,"J01-091","Seasonal",100,"Toad","Tadpole","Velocity"
"44","critical","slice1",2014,"J01-091","Seasonal",100,"Toad","Tadpole","Velocity"
"45","non_critical","slice1",2015,"J01-091","Seasonal",100,"Toad","Tadpole","Velocity"
"46","critical","slice1",2015,"J01-091","Seasonal",100,"Toad","Tadpole","Velocity"
"47","non_critical","slice1",2016,"J01-091","Seasonal",99.8620309050773,"Toad","Tadpole","Velocity"
"48","critical","slice1",2016,"J01-091","Seasonal",100,"Toad","Tadpole","Velocity"
"49","non_critical","slice1",2017,"J01-091","Seasonal",100,"Toad","Tadpole","Velocity"
"50","critical","slice1",2017,"J01-091","Seasonal",100,"Toad","Tadpole","Velocity"
"51","non_critical","slice1",2018,"J01-091","Seasonal",99.7240618101545,"Toad","Tadpole","Velocity"
"52","critical","slice1",2018,"J01-091","Seasonal",100,"Toad","Tadpole","Velocity"
"53","non_critical","slice2",1993,"J01-091","Seasonal",45.1434878587196,"Toad","Tadpole","Velocity"
"54","critical","slice2",1993,"J01-091","Seasonal",65.7126168224299,"Toad","Tadpole","Velocity"
"55","non_critical","slice2",1994,"J01-091","Seasonal",61.8653421633554,"Toad","Tadpole","Velocity"
"56","critical","slice2",1994,"J01-091","Seasonal",51.8107476635514,"Toad","Tadpole","Velocity"
"57","non_critical","slice2",1995,"J01-091","Seasonal",41.1184210526316,"Toad","Tadpole","Velocity"
"58","critical","slice2",1995,"J01-091","Seasonal",58.8200934579439,"Toad","Tadpole","Velocity"
"59","non_critical","slice2",1996,"J01-091","Seasonal",33.2505518763797,"Toad","Tadpole","Velocity"
"60","critical","slice2",1996,"J01-091","Seasonal",59.8520249221184,"Toad","Tadpole","Velocity"
"61","non_critical","slice2",1997,"J01-091","Seasonal",35.7064017660044,"Toad","Tadpole","Velocity"
"62","critical","slice2",1997,"J01-091","Seasonal",27.9595015576324,"Toad","Tadpole","Velocity"
"63","non_critical","slice2",1998,"J01-091","Seasonal",23.6479028697572,"Toad","Tadpole","Velocity"
"64","critical","slice2",1998,"J01-091","Seasonal",57.2429906542056,"Toad","Tadpole","Velocity"
"65","non_critical","slice2",1999,"J01-091","Seasonal",39.9671052631579,"Toad","Tadpole","Velocity"
"66","critical","slice2",1999,"J01-091","Seasonal",63.5708722741433,"Toad","Tadpole","Velocity"
"67","non_critical","slice2",2000,"J01-091","Seasonal",65.976821192053,"Toad","Tadpole","Velocity"
"68","critical","slice2",2000,"J01-091","Seasonal",67.7180685358256,"Toad","Tadpole","Velocity"
"69","non_critical","slice2",2001,"J01-091","Seasonal",96.3852097130243,"Toad","Tadpole","Velocity"
"70","critical","slice2",2001,"J01-091","Seasonal",87.869937694704,"Toad","Tadpole","Velocity"
"71","non_critical","slice2",2002,"J01-091","Seasonal",89.5695364238411,"Toad","Tadpole","Velocity"
"72","critical","slice2",2002,"J01-091","Seasonal",89.3886292834891,"Toad","Tadpole","Velocity"
"73","non_critical","slice2",2003,"J01-091","Seasonal",97.4506578947368,"Toad","Tadpole","Velocity"
"74","critical","slice2",2003,"J01-091","Seasonal",95.9696261682243,"Toad","Tadpole","Velocity"
"75","non_critical","slice2",2004,"J01-091","Seasonal",50.8830022075055,"Toad","Tadpole","Velocity"
"76","critical","slice2",2004,"J01-091","Seasonal",70.5996884735202,"Toad","Tadpole","Velocity"
"77","non_critical","slice2",2005,"J01-091","Seasonal",99.7240618101545,"Toad","Tadpole","Velocity"
"78","critical","slice2",2005,"J01-091","Seasonal",91.588785046729,"Toad","Tadpole","Velocity"
"79","non_critical","slice2",2006,"J01-091","Seasonal",98.2615894039735,"Toad","Tadpole","Velocity"
"80","critical","slice2",2006,"J01-091","Seasonal",95.8138629283489,"Toad","Tadpole","Velocity"
"81","non_critical","slice2",2007,"J01-091","Seasonal",84.6491228070175,"Toad","Tadpole","Velocity"
"82","critical","slice2",2007,"J01-091","Seasonal",95.0155763239875,"Toad","Tadpole","Velocity"
"83","non_critical","slice2",2008,"J01-091","Seasonal",76.9867549668874,"Toad","Tadpole","Velocity"
"84","critical","slice2",2008,"J01-091","Seasonal",87.4026479750779,"Toad","Tadpole","Velocity"
"85","non_critical","slice2",2009,"J01-091","Seasonal",68.4602649006623,"Toad","Tadpole","Velocity"
"86","critical","slice2",2009,"J01-091","Seasonal",81.9898753894081,"Toad","Tadpole","Velocity"
"87","non_critical","slice2",2010,"J01-091","Seasonal",45.9988962472406,"Toad","Tadpole","Velocity"
"88","critical","slice2",2010,"J01-091","Seasonal",69.6651090342679,"Toad","Tadpole","Velocity"
"89","non_critical","slice2",2011,"J01-091","Seasonal",82.7302631578947,"Toad","Tadpole","Velocity"
"90","critical","slice2",2011,"J01-091","Seasonal",74.7468847352025,"Toad","Tadpole","Velocity"
"91","non_critical","slice2",2012,"J01-091","Seasonal",79.1942604856512,"Toad","Tadpole","Velocity"
"92","critical","slice2",2012,"J01-091","Seasonal",81.4641744548287,"Toad","Tadpole","Velocity"
"93","non_critical","slice2",2013,"J01-091","Seasonal",97.1302428256071,"Toad","Tadpole","Velocity"
"94","critical","slice2",2013,"J01-091","Seasonal",87.7725856697819,"Toad","Tadpole","Velocity"
"95","non_critical","slice2",2014,"J01-091","Seasonal",91.4459161147903,"Toad","Tadpole","Velocity"
"96","critical","slice2",2014,"J01-091","Seasonal",92.7570093457944,"Toad","Tadpole","Velocity"
"97","non_critical","slice2",2015,"J01-091","Seasonal",93.9144736842105,"Toad","Tadpole","Velocity"
"98","critical","slice2",2015,"J01-091","Seasonal",94.1783489096573,"Toad","Tadpole","Velocity"
"99","non_critical","slice2",2016,"J01-091","Seasonal",55.9326710816777,"Toad","Tadpole","Velocity"
"100","critical","slice2",2016,"J01-091","Seasonal",79.6144859813084,"Toad","Tadpole","Velocity"
"101","non_critical","slice2",2017,"J01-091","Seasonal",97.0474613686534,"Toad","Tadpole","Velocity"
"102","critical","slice2",2017,"J01-091","Seasonal",92.0560747663551,"Toad","Tadpole","Velocity"
"103","non_critical","slice2",2018,"J01-091","Seasonal",68.2395143487859,"Toad","Tadpole","Velocity"
"104","critical","slice2",2018,"J01-091","Seasonal",39.9691358024691,"Toad","Tadpole","Velocity"
"105","non_critical","slice3",1993,"J01-091","Seasonal",100,"Toad","Tadpole","Velocity"
"106","critical","slice3",1993,"J01-091","Seasonal",100,"Toad","Tadpole","Velocity"
"107","non_critical","slice3",1994,"J01-091","Seasonal",99.8620309050773,"Toad","Tadpole","Velocity"
"108","critical","slice3",1994,"J01-091","Seasonal",99.9805295950156,"Toad","Tadpole","Velocity"
"109","non_critical","slice3",1995,"J01-091","Seasonal",100,"Toad","Tadpole","Velocity"
"110","critical","slice3",1995,"J01-091","Seasonal",100,"Toad","Tadpole","Velocity"
"111","non_critical","slice3",1996,"J01-091","Seasonal",99.9448123620309,"Toad","Tadpole","Velocity"
"112","critical","slice3",1996,"J01-091","Seasonal",100,"Toad","Tadpole","Velocity"
"113","non_critical","slice3",1997,"J01-091","Seasonal",99.8068432671082,"Toad","Tadpole","Velocity"
"114","critical","slice3",1997,"J01-091","Seasonal",99.9805295950156,"Toad","Tadpole","Velocity"
"115","non_critical","slice3",1998,"J01-091","Seasonal",100,"Toad","Tadpole","Velocity"
"116","critical","slice3",1998,"J01-091","Seasonal",100,"Toad","Tadpole","Velocity"
"117","non_critical","slice3",1999,"J01-091","Seasonal",100,"Toad","Tadpole","Velocity"
"118","critical","slice3",1999,"J01-091","Seasonal",100,"Toad","Tadpole","Velocity"
"119","non_critical","slice3",2000,"J01-091","Seasonal",100,"Toad","Tadpole","Velocity"
"120","critical","slice3",2000,"J01-091","Seasonal",100,"Toad","Tadpole","Velocity"
"121","non_critical","slice3",2001,"J01-091","Seasonal",100,"Toad","Tadpole","Velocity"
"122","critical","slice3",2001,"J01-091","Seasonal",100,"Toad","Tadpole","Velocity"
"123","non_critical","slice3",2002,"J01-091","Seasonal",100,"Toad","Tadpole","Velocity"
"124","critical","slice3",2002,"J01-091","Seasonal",100,"Toad","Tadpole","Velocity"
"125","non_critical","slice3",2003,"J01-091","Seasonal",100,"Toad","Tadpole","Velocity"
"126","critical","slice3",2003,"J01-091","Seasonal",100,"Toad","Tadpole","Velocity"
"127","non_critical","slice3",2004,"J01-091","Seasonal",99.8068432671082,"Toad","Tadpole","Velocity"
