"","position","water_year","Node","season","Probability_Threshold","value","Species","Life_Stage","Hydraulic"
"1","slice1",1993,"J03-010","non_critical","Seasonal",99.5309050772627,"Toad","Breeding/Eggs","Depth"
"2","slice1",1993,"J03-010","critical","Seasonal",99.7079439252336,"Toad","Breeding/Eggs","Depth"
"3","slice1",1994,"J03-010","non_critical","Seasonal",97.5165562913907,"Toad","Breeding/Eggs","Depth"
"4","slice1",1994,"J03-010","critical","Seasonal",98.8901869158879,"Toad","Breeding/Eggs","Depth"
"5","slice1",1995,"J03-010","non_critical","Seasonal",98.8760964912281,"Toad","Breeding/Eggs","Depth"
"6","slice1",1995,"J03-010","critical","Seasonal",99.7663551401869,"Toad","Breeding/Eggs","Depth"
"7","slice1",1996,"J03-010","non_critical","Seasonal",97.7924944812362,"Toad","Breeding/Eggs","Depth"
"8","slice1",1996,"J03-010","critical","Seasonal",100,"Toad","Breeding/Eggs","Depth"
"9","slice1",1997,"J03-010","non_critical","Seasonal",96.3300220750552,"Toad","Breeding/Eggs","Depth"
"10","slice1",1997,"J03-010","critical","Seasonal",99.2990654205608,"Toad","Breeding/Eggs","Depth"
"11","slice1",1998,"J03-010","non_critical","Seasonal",99.448123620309,"Toad","Breeding/Eggs","Depth"
"12","slice1",1998,"J03-010","critical","Seasonal",99.7663551401869,"Toad","Breeding/Eggs","Depth"
"13","slice1",1999,"J03-010","non_critical","Seasonal",99.2324561403509,"Toad","Breeding/Eggs","Depth"
"14","slice1",1999,"J03-010","critical","Seasonal",99.6495327102804,"Toad","Breeding/Eggs","Depth"
"15","slice1",2000,"J03-010","non_critical","Seasonal",97.5993377483444,"Toad","Breeding/Eggs","Depth"
"16","slice1",2000,"J03-010","critical","Seasonal",99.9221183800623,"Toad","Breeding/Eggs","Depth"
"17","slice1",2001,"J03-010","non_critical","Seasonal",99.8068432671082,"Toad","Breeding/Eggs","Depth"
"18","slice1",2001,"J03-010","critical","Seasonal",100,"Toad","Breeding/Eggs","Depth"
"19","slice1",2002,"J03-010","non_critical","Seasonal",98.233995584989,"Toad","Breeding/Eggs","Depth"
"20","slice1",2002,"J03-010","critical","Seasonal",98.9096573208723,"Toad","Breeding/Eggs","Depth"
"21","slice1",2003,"J03-010","non_critical","Seasonal",99.1228070175439,"Toad","Breeding/Eggs","Depth"
"22","slice1",2003,"J03-010","critical","Seasonal",99.9026479750779,"Toad","Breeding/Eggs","Depth"
"23","slice1",2004,"J03-010","non_critical","Seasonal",94.0121412803532,"Toad","Breeding/Eggs","Depth"
"24","slice1",2004,"J03-010","critical","Seasonal",99.9221183800623,"Toad","Breeding/Eggs","Depth"
"25","slice1",2005,"J03-010","non_critical","Seasonal",99.5033112582781,"Toad","Breeding/Eggs","Depth"
"26","slice1",2005,"J03-010","critical","Seasonal",99.6105919003115,"Toad","Breeding/Eggs","Depth"
"27","slice1",2006,"J03-010","non_critical","Seasonal",99.9448123620309,"Toad","Breeding/Eggs","Depth"
"28","slice1",2006,"J03-010","critical","Seasonal",99.9415887850467,"Toad","Breeding/Eggs","Depth"
"29","slice1",2007,"J03-010","non_critical","Seasonal",98.9857456140351,"Toad","Breeding/Eggs","Depth"
"30","slice1",2007,"J03-010","critical","Seasonal",100,"Toad","Breeding/Eggs","Depth"
"31","slice1",2008,"J03-010","non_critical","Seasonal",98.7582781456954,"Toad","Breeding/Eggs","Depth"
"32","slice1",2008,"J03-010","critical","Seasonal",100,"Toad","Breeding/Eggs","Depth"
"33","slice1",2009,"J03-010","non_critical","Seasonal",97.9028697571744,"Toad","Breeding/Eggs","Depth"
"34","slice1",2009,"J03-010","critical","Seasonal",99.9415887850467,"Toad","Breeding/Eggs","Depth"
"35","slice1",2010,"J03-010","non_critical","Seasonal",96.9370860927152,"Toad","Breeding/Eggs","Depth"
"36","slice1",2010,"J03-010","critical","Seasonal",99.7858255451713,"Toad","Breeding/Eggs","Depth"
"37","slice1",2011,"J03-010","non_critical","Seasonal",99.3969298245614,"Toad","Breeding/Eggs","Depth"
"38","slice1",2011,"J03-010","critical","Seasonal",99.6884735202492,"Toad","Breeding/Eggs","Depth"
"39","slice1",2012,"J03-010","non_critical","Seasonal",99.6412803532009,"Toad","Breeding/Eggs","Depth"
"40","slice1",2012,"J03-010","critical","Seasonal",99.8442367601246,"Toad","Breeding/Eggs","Depth"
"41","slice1",2013,"J03-010","non_critical","Seasonal",99.448123620309,"Toad","Breeding/Eggs","Depth"
"42","slice1",2013,"J03-010","critical","Seasonal",99.8831775700935,"Toad","Breeding/Eggs","Depth"
"43","slice1",2014,"J03-010","non_critical","Seasonal",99.2825607064018,"Toad","Breeding/Eggs","Depth"
"44","slice1",2014,"J03-010","critical","Seasonal",99.863707165109,"Toad","Breeding/Eggs","Depth"
