"","season","position","water_year","Node","Probability_Threshold","value","Species","Life_Stage","Hydraulic"
"1","critical","slice1",1999,"L01-060","Seasonal",28.2608695652174,"Toad","Breeding/Eggs","Velocity"
"2","non_critical","slice1",2000,"L01-060","Seasonal",45.0331125827815,"Toad","Breeding/Eggs","Velocity"
"3","critical","slice1",2000,"L01-060","Seasonal",48.1308411214953,"Toad","Breeding/Eggs","Velocity"
"4","non_critical","slice1",2001,"L01-060","Seasonal",27.1523178807947,"Toad","Breeding/Eggs","Velocity"
"5","critical","slice1",2001,"L01-060","Seasonal",9.34579439252336,"Toad","Breeding/Eggs","Velocity"
"6","non_critical","slice1",2002,"L01-060","Seasonal",37.7483443708609,"Toad","Breeding/Eggs","Velocity"
"7","critical","slice1",2002,"L01-060","Seasonal",47.6635514018692,"Toad","Breeding/Eggs","Velocity"
"8","non_critical","slice1",2003,"L01-060","Seasonal",35.5263157894737,"Toad","Breeding/Eggs","Velocity"
"9","critical","slice1",2003,"L01-060","Seasonal",21.4953271028037,"Toad","Breeding/Eggs","Velocity"
"10","non_critical","slice1",2004,"L01-060","Seasonal",90.728476821192,"Toad","Breeding/Eggs","Velocity"
"11","critical","slice1",2004,"L01-060","Seasonal",68.2242990654206,"Toad","Breeding/Eggs","Velocity"
"12","non_critical","slice1",2005,"L01-060","Seasonal",42.3841059602649,"Toad","Breeding/Eggs","Velocity"
"13","critical","slice1",2005,"L01-060","Seasonal",64.9532710280374,"Toad","Breeding/Eggs","Velocity"
"14","non_critical","slice1",2006,"L01-060","Seasonal",20.5298013245033,"Toad","Breeding/Eggs","Velocity"
"15","critical","slice1",2006,"L01-060","Seasonal",17.2897196261682,"Toad","Breeding/Eggs","Velocity"
"16","non_critical","slice1",2007,"L01-060","Seasonal",61.8421052631579,"Toad","Breeding/Eggs","Velocity"
"17","critical","slice1",2007,"L01-060","Seasonal",27.1028037383178,"Toad","Breeding/Eggs","Velocity"
"18","non_critical","slice1",2008,"L01-060","Seasonal",56.2913907284768,"Toad","Breeding/Eggs","Velocity"
"19","critical","slice1",2008,"L01-060","Seasonal",16.3551401869159,"Toad","Breeding/Eggs","Velocity"
"20","non_critical","slice1",2009,"L01-060","Seasonal",38.4105960264901,"Toad","Breeding/Eggs","Velocity"
"21","critical","slice1",2009,"L01-060","Seasonal",30.8411214953271,"Toad","Breeding/Eggs","Velocity"
"22","non_critical","slice1",2010,"L01-060","Seasonal",82.7814569536424,"Toad","Breeding/Eggs","Velocity"
"23","critical","slice1",2010,"L01-060","Seasonal",61.6822429906542,"Toad","Breeding/Eggs","Velocity"
"24","non_critical","slice1",2011,"L01-060","Seasonal",80.2631578947368,"Toad","Breeding/Eggs","Velocity"
"25","critical","slice1",2011,"L01-060","Seasonal",40.6542056074766,"Toad","Breeding/Eggs","Velocity"
"26","non_critical","slice1",2012,"L01-060","Seasonal",54.9668874172185,"Toad","Breeding/Eggs","Velocity"
"27","critical","slice1",2012,"L01-060","Seasonal",10.7476635514019,"Toad","Breeding/Eggs","Velocity"
"28","non_critical","slice1",2013,"L01-060","Seasonal",8.60927152317881,"Toad","Breeding/Eggs","Velocity"
"29","critical","slice1",2013,"L01-060","Seasonal",7.94392523364486,"Toad","Breeding/Eggs","Velocity"
"30","non_critical","slice1",2014,"L01-060","Seasonal",11.9205298013245,"Toad","Breeding/Eggs","Velocity"
"31","critical","slice1",2014,"L01-060","Seasonal",11.6822429906542,"Toad","Breeding/Eggs","Velocity"
"32","non_critical","slice1",2015,"L01-060","Seasonal",11.1842105263158,"Toad","Breeding/Eggs","Velocity"
"33","critical","slice1",2015,"L01-060","Seasonal",2.45901639344262,"Toad","Breeding/Eggs","Velocity"
