"","season","position","water_year","Node","Probability_Threshold","value","Species","Life_Stage","Hydraulic"
"1","critical","slice1",1999,"L02-023","Seasonal",38.0434782608696,"Toad","Tadpole","Velocity"
"2","non_critical","slice1",2000,"L02-023","Seasonal",50.9933774834437,"Toad","Tadpole","Velocity"
"3","critical","slice1",2000,"L02-023","Seasonal",85.5140186915888,"Toad","Tadpole","Velocity"
"4","non_critical","slice1",2001,"L02-023","Seasonal",74.1721854304636,"Toad","Tadpole","Velocity"
"5","critical","slice1",2001,"L02-023","Seasonal",21.9626168224299,"Toad","Tadpole","Velocity"
"6","non_critical","slice1",2002,"L02-023","Seasonal",66.2251655629139,"Toad","Tadpole","Velocity"
"7","critical","slice1",2002,"L02-023","Seasonal",95.3271028037383,"Toad","Tadpole","Velocity"
"8","non_critical","slice1",2003,"L02-023","Seasonal",51.3157894736842,"Toad","Tadpole","Velocity"
"9","critical","slice1",2003,"L02-023","Seasonal",45.7943925233645,"Toad","Tadpole","Velocity"
"10","non_critical","slice1",2004,"L02-023","Seasonal",96.6887417218543,"Toad","Tadpole","Velocity"
"11","critical","slice1",2004,"L02-023","Seasonal",90.1869158878505,"Toad","Tadpole","Velocity"
"12","non_critical","slice1",2005,"L02-023","Seasonal",95.364238410596,"Toad","Tadpole","Velocity"
"13","critical","slice1",2005,"L02-023","Seasonal",100,"Toad","Tadpole","Velocity"
"14","non_critical","slice1",2006,"L02-023","Seasonal",81.4569536423841,"Toad","Tadpole","Velocity"
"15","critical","slice1",2006,"L02-023","Seasonal",61.6822429906542,"Toad","Tadpole","Velocity"
"16","non_critical","slice1",2007,"L02-023","Seasonal",99.3421052631579,"Toad","Tadpole","Velocity"
"17","critical","slice1",2007,"L02-023","Seasonal",85.981308411215,"Toad","Tadpole","Velocity"
"18","non_critical","slice1",2008,"L02-023","Seasonal",86.0927152317881,"Toad","Tadpole","Velocity"
"19","critical","slice1",2008,"L02-023","Seasonal",49.5327102803738,"Toad","Tadpole","Velocity"
"20","non_critical","slice1",2009,"L02-023","Seasonal",54.9668874172185,"Toad","Tadpole","Velocity"
"21","critical","slice1",2009,"L02-023","Seasonal",78.5046728971963,"Toad","Tadpole","Velocity"
"22","non_critical","slice1",2010,"L02-023","Seasonal",98.6754966887417,"Toad","Tadpole","Velocity"
"23","critical","slice1",2010,"L02-023","Seasonal",95.3271028037383,"Toad","Tadpole","Velocity"
"24","non_critical","slice1",2011,"L02-023","Seasonal",100,"Toad","Tadpole","Velocity"
"25","critical","slice1",2011,"L02-023","Seasonal",100,"Toad","Tadpole","Velocity"
"26","non_critical","slice1",2012,"L02-023","Seasonal",100,"Toad","Tadpole","Velocity"
"27","critical","slice1",2012,"L02-023","Seasonal",99.0654205607477,"Toad","Tadpole","Velocity"
"28","non_critical","slice1",2013,"L02-023","Seasonal",100,"Toad","Tadpole","Velocity"
"29","critical","slice1",2013,"L02-023","Seasonal",51.4018691588785,"Toad","Tadpole","Velocity"
"30","non_critical","slice1",2014,"L02-023","Seasonal",65.5629139072848,"Toad","Tadpole","Velocity"
"31","critical","slice1",2014,"L02-023","Seasonal",83.6448598130841,"Toad","Tadpole","Velocity"
"32","non_critical","slice1",2015,"L02-023","Seasonal",100,"Toad","Tadpole","Velocity"
"33","critical","slice1",2015,"L02-023","Seasonal",54.9180327868852,"Toad","Tadpole","Velocity"
"34","critical","slice2",1999,"L02-023","Seasonal",38.0434782608696,"Toad","Tadpole","Velocity"
"35","non_critical","slice2",2000,"L02-023","Seasonal",50.9933774834437,"Toad","Tadpole","Velocity"
"36","critical","slice2",2000,"L02-023","Seasonal",85.5140186915888,"Toad","Tadpole","Velocity"
"37","non_critical","slice2",2001,"L02-023","Seasonal",74.1721854304636,"Toad","Tadpole","Velocity"
"38","critical","slice2",2001,"L02-023","Seasonal",21.9626168224299,"Toad","Tadpole","Velocity"
"39","non_critical","slice2",2002,"L02-023","Seasonal",66.2251655629139,"Toad","Tadpole","Velocity"
"40","critical","slice2",2002,"L02-023","Seasonal",95.3271028037383,"Toad","Tadpole","Velocity"
"41","non_critical","slice2",2003,"L02-023","Seasonal",51.3157894736842,"Toad","Tadpole","Velocity"
"42","critical","slice2",2003,"L02-023","Seasonal",45.7943925233645,"Toad","Tadpole","Velocity"
"43","non_critical","slice2",2004,"L02-023","Seasonal",96.6887417218543,"Toad","Tadpole","Velocity"
"44","critical","slice2",2004,"L02-023","Seasonal",90.1869158878505,"Toad","Tadpole","Velocity"
"45","non_critical","slice2",2005,"L02-023","Seasonal",95.364238410596,"Toad","Tadpole","Velocity"
"46","critical","slice2",2005,"L02-023","Seasonal",100,"Toad","Tadpole","Velocity"
