"","position","water_year","Node","season","Probability_Threshold","value","Species","Life_Stage","Hydraulic"
"1","slice1",1999,"L02-050","critical","Seasonal",20.6521739130435,"Toad","Breeding/Eggs","Depth"
"2","slice1",2000,"L02-050","non_critical","Seasonal",17.8807947019868,"Toad","Breeding/Eggs","Depth"
"3","slice1",2000,"L02-050","critical","Seasonal",42.9906542056075,"Toad","Breeding/Eggs","Depth"
"4","slice1",2001,"L02-050","non_critical","Seasonal",48.3443708609272,"Toad","Breeding/Eggs","Depth"
"5","slice1",2001,"L02-050","critical","Seasonal",14.018691588785,"Toad","Breeding/Eggs","Depth"
"6","slice1",2002,"L02-050","non_critical","Seasonal",20.5298013245033,"Toad","Breeding/Eggs","Depth"
"7","slice1",2002,"L02-050","critical","Seasonal",61.214953271028,"Toad","Breeding/Eggs","Depth"
"8","slice1",2003,"L02-050","non_critical","Seasonal",34.2105263157895,"Toad","Breeding/Eggs","Depth"
"9","slice1",2003,"L02-050","critical","Seasonal",16.3551401869159,"Toad","Breeding/Eggs","Depth"
"10","slice1",2004,"L02-050","non_critical","Seasonal",86.0927152317881,"Toad","Breeding/Eggs","Depth"
"11","slice1",2004,"L02-050","critical","Seasonal",64.9532710280374,"Toad","Breeding/Eggs","Depth"
"12","slice1",2005,"L02-050","non_critical","Seasonal",35.0993377483444,"Toad","Breeding/Eggs","Depth"
"13","slice1",2005,"L02-050","critical","Seasonal",84.5794392523365,"Toad","Breeding/Eggs","Depth"
"14","slice1",2006,"L02-050","non_critical","Seasonal",31.7880794701987,"Toad","Breeding/Eggs","Depth"
"15","slice1",2006,"L02-050","critical","Seasonal",15.8878504672897,"Toad","Breeding/Eggs","Depth"
"16","slice1",2007,"L02-050","non_critical","Seasonal",56.578947368421,"Toad","Breeding/Eggs","Depth"
"17","slice1",2007,"L02-050","critical","Seasonal",19.6261682242991,"Toad","Breeding/Eggs","Depth"
"18","slice1",2008,"L02-050","non_critical","Seasonal",55.6291390728477,"Toad","Breeding/Eggs","Depth"
"19","slice1",2008,"L02-050","critical","Seasonal",17.7570093457944,"Toad","Breeding/Eggs","Depth"
"20","slice1",2009,"L02-050","non_critical","Seasonal",34.4370860927152,"Toad","Breeding/Eggs","Depth"
"21","slice1",2009,"L02-050","critical","Seasonal",23.3644859813084,"Toad","Breeding/Eggs","Depth"
"22","slice1",2010,"L02-050","non_critical","Seasonal",60.2649006622517,"Toad","Breeding/Eggs","Depth"
"23","slice1",2010,"L02-050","critical","Seasonal",44.392523364486,"Toad","Breeding/Eggs","Depth"
"24","slice1",2011,"L02-050","non_critical","Seasonal",48.0263157894737,"Toad","Breeding/Eggs","Depth"
"25","slice1",2011,"L02-050","critical","Seasonal",41.588785046729,"Toad","Breeding/Eggs","Depth"
"26","slice1",2012,"L02-050","non_critical","Seasonal",80.794701986755,"Toad","Breeding/Eggs","Depth"
"27","slice1",2012,"L02-050","critical","Seasonal",23.3644859813084,"Toad","Breeding/Eggs","Depth"
"28","slice1",2013,"L02-050","non_critical","Seasonal",39.7350993377483,"Toad","Breeding/Eggs","Depth"
"29","slice1",2013,"L02-050","critical","Seasonal",29.9065420560748,"Toad","Breeding/Eggs","Depth"
"30","slice1",2014,"L02-050","non_critical","Seasonal",13.9072847682119,"Toad","Breeding/Eggs","Depth"
"31","slice1",2014,"L02-050","critical","Seasonal",26.1682242990654,"Toad","Breeding/Eggs","Depth"
"32","slice1",2015,"L02-050","non_critical","Seasonal",32.2368421052632,"Toad","Breeding/Eggs","Depth"
"33","slice1",2015,"L02-050","critical","Seasonal",13.1147540983607,"Toad","Breeding/Eggs","Depth"
"34","slice2",1999,"L02-050","critical","Seasonal",20.6521739130435,"Toad","Breeding/Eggs","Depth"
