"","position","water_year","Node","TimePeriod2","TimePercentage","Species","Life_Stage","Hydraulic","Suitability_Class"
"1","slice1",1993,"J01-010","Annual",0.399543378995434,"Chub","Adult","Depth","Low"
"2","slice1",1994,"J01-010","Annual",1.74657534246575,"Chub","Adult","Depth","Low"
"3","slice1",1995,"J01-010","Annual",0.705828779599271,"Chub","Adult","Depth","Low"
"4","slice1",1996,"J01-010","Annual",0.856164383561644,"Chub","Adult","Depth","Low"
"5","slice1",1997,"J01-010","Annual",2.23744292237443,"Chub","Adult","Depth","Low"
"6","slice1",1998,"J01-010","Annual",0.559360730593607,"Chub","Adult","Depth","Low"
"7","slice1",1999,"J01-010","Annual",0.557832422586521,"Chub","Adult","Depth","Low"
"8","slice1",2000,"J01-010","Annual",0.639269406392694,"Chub","Adult","Depth","Low"
"9","slice1",2001,"J01-010","Annual",0.136986301369863,"Chub","Adult","Depth","Low"
"10","slice1",2002,"J01-010","Annual",1.21004566210046,"Chub","Adult","Depth","Low"
"11","slice1",2003,"J01-010","Annual",0.341530054644809,"Chub","Adult","Depth","Low"
"12","slice1",2004,"J01-010","Annual",2.29452054794521,"Chub","Adult","Depth","Low"
"13","slice1",2005,"J01-010","Annual",0.605022831050228,"Chub","Adult","Depth","Low"
"14","slice1",2006,"J01-010","Annual",0.0570776255707763,"Chub","Adult","Depth","Low"
"15","slice1",2007,"J01-010","Annual",0.626138433515483,"Chub","Adult","Depth","Low"
"16","slice1",2008,"J01-010","Annual",0.67351598173516,"Chub","Adult","Depth","Low"
"17","slice1",2009,"J01-010","Annual",1.01598173515982,"Chub","Adult","Depth","Low"
"18","slice1",2010,"J01-010","Annual",0.833333333333333,"Chub","Adult","Depth","Low"
"19","slice1",2011,"J01-010","Annual",0.512295081967213,"Chub","Adult","Depth","Low"
"20","slice1",2012,"J01-010","Annual",0.319634703196347,"Chub","Adult","Depth","Low"
"21","slice1",2013,"J01-010","Annual",0.365296803652968,"Chub","Adult","Depth","Low"
"22","slice1",2014,"J01-010","Annual",0.67351598173516,"Chub","Adult","Depth","Low"
"23","slice1",2015,"J01-010","Annual",0.489526411657559,"Chub","Adult","Depth","Low"
"24","slice1",2016,"J01-010","Annual",1.23287671232877,"Chub","Adult","Depth","Low"
"25","slice1",2017,"J01-010","Annual",0.194063926940639,"Chub","Adult","Depth","Low"
"26","slice1",2018,"J01-010","Annual",2.49640804597701,"Chub","Adult","Depth","Low"
"27","slice2",1993,"J01-010","Annual",0.742009132420091,"Chub","Adult","Depth","Low"
"28","slice2",1994,"J01-010","Annual",2.55707762557078,"Chub","Adult","Depth","Low"
