"","X","V1","V2","V3","Type","Species","Life_Stage","Hydraulic","Node"
"1",1,31.2587256458642,31.2587256458642,31.2587256458642,"Q_limit1","Willow","Adult","StreamPower","J07-010"
"2",2,31.2587256458642,31.2587256458642,31.2587256458642,"Q_limit2","Willow","Adult","StreamPower","J07-010"
"3",3,4000,4000,4000,"Hydraulic_limit1","Willow","Adult","StreamPower","J07-010"
"4",4,4000,4000,4000,"Hydraulic_limit2","Willow","Adult","StreamPower","J07-010"
"5",1,0.294654005446195,2.04416035341769,0.700900730361175,"Q_limit1","Willow","Germination","Depth","J07-010"
"6",2,0.294654005446195,2.04416035341769,0.700900730361175,"Q_limit2","Willow","Germination","Depth","J07-010"
"7",3,5,5,5,"Hydraulic_limit1","Willow","Germination","Depth","J07-010"
"8",4,5,5,5,"Hydraulic_limit2","Willow","Germination","Depth","J07-010"
"9",1,5.32580084284908,11.012365132705,8.99934698081843,"Q_limit1","Willow","Seedling","Depth","J07-010"
"10",2,5.32580084284908,11.012365132705,8.99934698081843,"Q_limit2","Willow","Seedling","Depth","J07-010"
"11",3,27.5199606488009,27.5195970265002,27.5193299093378,"Hydraulic_limit1","Willow","Seedling","Depth","J07-010"
"12",4,27.5199606488009,27.5195970265002,27.5193299093378,"Hydraulic_limit2","Willow","Seedling","Depth","J07-010"
"13",1,1.12102795687686,4.65136482924526,2.24771483282315,"Q_limit1","Willow","Seedling","Shear Stress","J07-010"
"14",2,1.12102795687686,4.65136482924526,2.24771483282315,"Q_limit2","Willow","Seedling","Shear Stress","J07-010"
"15",3,21.6303262316911,21.6303262316911,21.6303262316911,"Hydraulic_limit1","Willow","Seedling","Shear Stress","J07-010"
"16",4,21.6303262316911,21.6303262316911,21.6303262316911,"Hydraulic_limit2","Willow","Seedling","Shear Stress","J07-010"
"17",1,3.91453211411846,8.44589605855265,5.98637331081644,"Q_limit1","Chub","Adult","Depth","J07-010"
"18",2,20.1950875342583,28.5188201853992,24.1652482441164,"Q_limit2","Chub","Adult","Depth","J07-010"
"19",3,27.958648889854,27.9586983402719,27.9577683207261,"Hydraulic_limit1","Chub","Adult","Depth","J07-010"
"20",4,63.8672864692008,63.9381739012147,63.8622111653082,"Hydraulic_limit2","Chub","Adult","Depth","J07-010"
"21",1,0.00928973746064627,0.964257397143545,0.162186054941229,"Q_limit1","Chub","Adult","Velocity","J07-010"
"22",2,0.697523898727425,3.74636752135278,1.5739625735839,"Q_limit2","Chub","Adult","Velocity","J07-010"
"23",3,0.184930313820253,0.184930278780562,0.184930288595256,"Hydraulic_limit1","Chub","Adult","Velocity","J07-010"
"24",4,0.794692348809491,0.794729290441888,0.7946929927719,"Hydraulic_limit2","Chub","Adult","Velocity","J07-010"
