"","TimePeriod","position","water_year","Node","TimePercentage","Species","Life_Stage","Hydraulic","Suitability_Class"
"1","critical","slice1",1993,"J01-010",1.38888888888889,"Willow","Germination","Depth","Low"
"2","critical","slice1",1994,"J01-010",2.9143897996357,"Willow","Germination","Depth","Low"
"3","critical","slice1",1995,"J01-010",0.387067395264117,"Willow","Germination","Depth","Low"
"4","critical","slice1",1996,"J01-010",0,"Willow","Germination","Depth","Low"
"5","critical","slice1",1997,"J01-010",5.91985428051002,"Willow","Germination","Depth","Low"
"6","critical","slice1",1998,"J01-010",1.79872495446266,"Willow","Germination","Depth","Low"
"7","critical","slice1",1999,"J01-010",1.07012750455373,"Willow","Germination","Depth","Low"
"8","critical","slice1",2000,"J01-010",1.79872495446266,"Willow","Germination","Depth","Low"
"9","critical","slice1",2001,"J01-010",0,"Willow","Germination","Depth","Low"
"10","critical","slice1",2002,"J01-010",2.20856102003643,"Willow","Germination","Depth","Low"
"11","critical","slice1",2003,"J01-010",0.705828779599271,"Willow","Germination","Depth","Low"
"12","critical","slice1",2004,"J01-010",2.16302367941712,"Willow","Germination","Depth","Low"
"13","critical","slice1",2005,"J01-010",2.29963570127505,"Willow","Germination","Depth","Low"
"14","critical","slice1",2006,"J01-010",0.819672131147541,"Willow","Germination","Depth","Low"
"15","critical","slice1",2007,"J01-010",0.273224043715847,"Willow","Germination","Depth","Low"
"16","critical","slice1",2008,"J01-010",0,"Willow","Germination","Depth","Low"
"17","critical","slice1",2009,"J01-010",0.865209471766849,"Willow","Germination","Depth","Low"
"18","critical","slice1",2010,"J01-010",0.250455373406193,"Willow","Germination","Depth","Low"
"19","critical","slice1",2011,"J01-010",1.77595628415301,"Willow","Germination","Depth","Low"
"20","critical","slice1",2012,"J01-010",0.865209471766849,"Willow","Germination","Depth","Low"
"21","critical","slice1",2013,"J01-010",0.569216757741348,"Willow","Germination","Depth","Low"
"22","critical","slice1",2014,"J01-010",2.29963570127505,"Willow","Germination","Depth","Low"
"23","critical","slice1",2015,"J01-010",0,"Willow","Germination","Depth","Low"
"24","critical","slice1",2016,"J01-010",0.569216757741348,"Willow","Germination","Depth","Low"
"25","critical","slice1",2017,"J01-010",0,"Willow","Germination","Depth","Low"
"26","critical","slice1",2018,"J01-010",1.66666666666667,"Willow","Germination","Depth","Low"
"27","critical","slice2",1993,"J01-010",100,"Willow","Germination","Depth","High"
