"","X","V1","V2","V3","Type","Species","Life_Stage","Hydraulic","Node"
"1",1,6.79964192857365,6.79964192857365,6.79964192857365,"Q_limit1","Willow","Adult","StreamPower","L01-080"
"2",2,6.79964192857365,6.79964192857365,6.79964192857365,"Q_limit2","Willow","Adult","StreamPower","L01-080"
"3",3,4000,4000,4000,"Hydraulic_limit1","Willow","Adult","StreamPower","L01-080"
"4",4,4000,4000,4000,"Hydraulic_limit2","Willow","Adult","StreamPower","L01-080"
"5",1,2.2584546312584,0.745885588773496,0.0659958850839073,"Q_limit1","Willow","Germination","Depth","L01-080"
"6",2,2.2584546312584,0.745885588773496,0.0659958850839073,"Q_limit2","Willow","Germination","Depth","L01-080"
"7",3,5,5,5,"Hydraulic_limit1","Willow","Germination","Depth","L01-080"
"8",4,5,5,5,"Hydraulic_limit2","Willow","Germination","Depth","L01-080"
"9",1,6.79964192857365,6.79964192857365,6.79964192857365,"Q_limit1","Willow","Seedling","Depth","L01-080"
"10",2,6.79964192857365,6.79964192857365,6.79964192857365,"Q_limit2","Willow","Seedling","Depth","L01-080"
"11",3,-Inf,-Inf,-Inf,"Hydraulic_limit1","Willow","Seedling","Depth","L01-080"
"12",4,-Inf,-Inf,-Inf,"Hydraulic_limit2","Willow","Seedling","Depth","L01-080"
"13",1,6.79964192857365,6.79964192857365,6.79964192857365,"Q_limit1","Willow","Seedling","Shear Stress","L01-080"
"14",2,6.79964192857365,6.79964192857365,6.79964192857365,"Q_limit2","Willow","Seedling","Shear Stress","L01-080"
"15",3,80.9455569786563,151.12529194878,188.111113596933,"Hydraulic_limit1","Willow","Seedling","Shear Stress","L01-080"
"16",4,80.9455569786563,151.12529194878,188.111113596933,"Hydraulic_limit2","Willow","Seedling","Shear Stress","L01-080"
"17",1,NA,3.43558014114202,0.88416885220282,"Q_limit1","Chub","Adult","Depth","L01-080"
"18",2,NA,3.43558014114202,0.88416885220282,"Q_limit2","Chub","Adult","Depth","L01-080"
"19",3,NA,27.957405303748,27.9587193716242,"Hydraulic_limit1","Chub","Adult","Depth","L01-080"
"20",4,NA,27.957405303748,27.9587193716242,"Hydraulic_limit2","Chub","Adult","Depth","L01-080"
"21",1,1.60777236539416,0.254160871522383,0.0777359655672745,"Q_limit1","Chub","Adult","Velocity","L01-080"
"22",2,2.63062841975516,0.740562354707681,0.0777359655672745,"Q_limit2","Chub","Adult","Velocity","L01-080"
"23",3,0.184818526003263,0.184915867398,0.794693567186423,"Hydraulic_limit1","Chub","Adult","Velocity","L01-080"
"24",4,0.795945936437717,0.794832235458954,0.794693567186423,"Hydraulic_limit2","Chub","Adult","Velocity","L01-080"
"25",1,5.4930034614227,2.75642956156035,0.563546211150035,"Q_limit1","Toad","Breeding/Eegs","Depth","L01-080"
"26",2,5.4930034614227,2.75642956156035,0.563546211150035,"Q_limit2","Toad","Breeding/Eegs","Depth","L01-080"
"27",3,15,15,15,"Hydraulic_limit1","Toad","Breeding/Eegs","Depth","L01-080"
"28",4,15,15,15,"Hydraulic_limit2","Toad","Breeding/Eegs","Depth","L01-080"
"29",1,1.52857820092837,0.208043601345245,0.000132233649632306,"Q_limit1","Toad","Breeding/Eggs","Velocity","L01-080"
"30",2,1.52857820092837,0.208043601345245,0.000132233649632306,"Q_limit2","Toad","Breeding/Eggs","Velocity","L01-080"
"31",3,0.05,0.05,0.05,"Hydraulic_limit1","Toad","Breeding/Eggs","Velocity","L01-080"
"32",4,0.05,0.05,0.05,"Hydraulic_limit2","Toad","Breeding/Eggs","Velocity","L01-080"
"33",1,6.79964192857365,6.35112359028563,2.2870943861033,"Q_limit1","Toad","Tadpole","Depth","L01-080"
"34",2,6.79964192857365,6.35112359028563,2.2870943861033,"Q_limit2","Toad","Tadpole","Depth","L01-080"
"35",3,30,30,30,"Hydraulic_limit1","Toad","Tadpole","Depth","L01-080"
"36",4,30,30,30,"Hydraulic_limit2","Toad","Tadpole","Depth","L01-080"
"37",1,6.79964192857365,6.35112359028563,2.2870943861033,"Q_limit1","Toad","Tadpole","Depth","L01-080"
"38",2,6.79964192857365,6.35112359028563,2.2870943861033,"Q_limit2","Toad","Tadpole","Depth","L01-080"
"39",3,30,30,30,"Hydraulic_limit1","Toad","Tadpole","Depth","L01-080"
"40",4,30,30,30,"Hydraulic_limit2","Toad","Tadpole","Depth","L01-080"
"41",1,1.78398299140797,0.357972418689321,0.00507946282476912,"Q_limit1","Toad","Tadpole","Velocity","L01-080"
"42",2,1.78398299140797,0.357972418689321,0.00507946282476912,"Q_limit2","Toad","Tadpole","Velocity","L01-080"
"43",3,0.4,0.4,0.4,"Hydraulic_limit1","Toad","Tadpole","Velocity","L01-080"
"44",4,0.4,0.4,0.4,"Hydraulic_limit2","Toad","Tadpole","Velocity","L01-080"
