"","season","position","water_year","Node","Probability_Threshold","value","Species","Life_Stage","Hydraulic"
"1","non_critical","slice1",1993,"J01-040","Seasonal",0.70970695970696,"Willow","Germination","Depth"
"2","critical","slice1",1993,"J01-040","Seasonal",0.0683060109289618,"Willow","Germination","Depth"
"3","non_critical","slice1",1994,"J01-040","Seasonal",3.04487179487179,"Willow","Germination","Depth"
"4","critical","slice1",1994,"J01-040","Seasonal",0.0683060109289618,"Willow","Germination","Depth"
"5","non_critical","slice1",1995,"J01-040","Seasonal",0.933515482695811,"Willow","Germination","Depth"
"6","critical","slice1",1995,"J01-040","Seasonal",0,"Willow","Germination","Depth"
"7","non_critical","slice1",1996,"J01-040","Seasonal",2.12912087912088,"Willow","Germination","Depth"
"8","critical","slice1",1996,"J01-040","Seasonal",0,"Willow","Germination","Depth"
"9","non_critical","slice1",1997,"J01-040","Seasonal",3.96062271062271,"Willow","Germination","Depth"
"10","critical","slice1",1997,"J01-040","Seasonal",0.273224043715847,"Willow","Germination","Depth"
"11","non_critical","slice1",1998,"J01-040","Seasonal",0.389194139194139,"Willow","Germination","Depth"
"12","critical","slice1",1998,"J01-040","Seasonal",0.0683060109289618,"Willow","Germination","Depth"
"13","non_critical","slice1",1999,"J01-040","Seasonal",0.910746812386157,"Willow","Germination","Depth"
"14","critical","slice1",1999,"J01-040","Seasonal",0.136612021857924,"Willow","Germination","Depth"
"15","non_critical","slice1",2000,"J01-040","Seasonal",1.64835164835165,"Willow","Germination","Depth"
"16","critical","slice1",2000,"J01-040","Seasonal",0.0683060109289618,"Willow","Germination","Depth"
"17","non_critical","slice1",2001,"J01-040","Seasonal",0.16025641025641,"Willow","Germination","Depth"
"18","critical","slice1",2001,"J01-040","Seasonal",0,"Willow","Germination","Depth"
"19","non_critical","slice1",2002,"J01-040","Seasonal",1.64835164835165,"Willow","Germination","Depth"
"20","critical","slice1",2002,"J01-040","Seasonal",0.318761384335155,"Willow","Germination","Depth"
"21","non_critical","slice1",2003,"J01-040","Seasonal",0.705828779599271,"Willow","Germination","Depth"
"22","critical","slice1",2003,"J01-040","Seasonal",0,"Willow","Germination","Depth"
"23","non_critical","slice1",2004,"J01-040","Seasonal",5.21978021978022,"Willow","Germination","Depth"
"24","critical","slice1",2004,"J01-040","Seasonal",0.182149362477231,"Willow","Germination","Depth"
"25","non_critical","slice1",2005,"J01-040","Seasonal",0.549450549450549,"Willow","Germination","Depth"
"26","critical","slice1",2005,"J01-040","Seasonal",0.204918032786885,"Willow","Germination","Depth"
"27","non_critical","slice1",2006,"J01-040","Seasonal",0.0228937728937729,"Willow","Germination","Depth"
"28","critical","slice1",2006,"J01-040","Seasonal",0.0227686703096539,"Willow","Germination","Depth"
"29","non_critical","slice1",2007,"J01-040","Seasonal",1.00182149362477,"Willow","Germination","Depth"
"30","critical","slice1",2007,"J01-040","Seasonal",0,"Willow","Germination","Depth"
"31","non_critical","slice1",2008,"J01-040","Seasonal",1.3507326007326,"Willow","Germination","Depth"
"32","critical","slice1",2008,"J01-040","Seasonal",0,"Willow","Germination","Depth"
"33","non_critical","slice1",2009,"J01-040","Seasonal",1.90018315018315,"Willow","Germination","Depth"
"34","critical","slice1",2009,"J01-040","Seasonal",0.0910746812386157,"Willow","Germination","Depth"
"35","non_critical","slice1",2010,"J01-040","Seasonal",2.93040293040293,"Willow","Germination","Depth"
