"","season","position","water_year","Node","Probability_Threshold","value","Species","Life_Stage","Hydraulic"
"1","critical","slice1",1999,"L02-031","Seasonal",0,"Willow","Germination","Depth"
"2","non_critical","slice1",2000,"L02-031","Seasonal",4.3956043956044,"Willow","Germination","Depth"
"3","critical","slice1",2000,"L02-031","Seasonal",0.546448087431694,"Willow","Germination","Depth"
"4","non_critical","slice1",2001,"L02-031","Seasonal",0,"Willow","Germination","Depth"
"5","critical","slice1",2001,"L02-031","Seasonal",0,"Willow","Germination","Depth"
"6","non_critical","slice1",2002,"L02-031","Seasonal",5.49450549450549,"Willow","Germination","Depth"
"7","critical","slice1",2002,"L02-031","Seasonal",0.546448087431694,"Willow","Germination","Depth"
"8","non_critical","slice1",2003,"L02-031","Seasonal",2.73224043715847,"Willow","Germination","Depth"
"9","critical","slice1",2003,"L02-031","Seasonal",0,"Willow","Germination","Depth"
"10","non_critical","slice1",2004,"L02-031","Seasonal",44.5054945054945,"Willow","Germination","Depth"
"11","critical","slice1",2004,"L02-031","Seasonal",0.546448087431694,"Willow","Germination","Depth"
"12","non_critical","slice1",2005,"L02-031","Seasonal",2.74725274725275,"Willow","Germination","Depth"
"13","critical","slice1",2005,"L02-031","Seasonal",2.18579234972678,"Willow","Germination","Depth"
"14","non_critical","slice1",2006,"L02-031","Seasonal",0,"Willow","Germination","Depth"
"15","critical","slice1",2006,"L02-031","Seasonal",0,"Willow","Germination","Depth"
"16","non_critical","slice1",2007,"L02-031","Seasonal",3.82513661202186,"Willow","Germination","Depth"
"17","critical","slice1",2007,"L02-031","Seasonal",0,"Willow","Germination","Depth"
"18","non_critical","slice1",2008,"L02-031","Seasonal",3.84615384615385,"Willow","Germination","Depth"
"19","critical","slice1",2008,"L02-031","Seasonal",0,"Willow","Germination","Depth"
"20","non_critical","slice1",2009,"L02-031","Seasonal",4.94505494505495,"Willow","Germination","Depth"
"21","critical","slice1",2009,"L02-031","Seasonal",0,"Willow","Germination","Depth"
