"","season","position","water_year","Node","Probability_Threshold","value","Species","Life_Stage","Hydraulic"
"1","non_critical","slice1",1993,"J03-010","Seasonal",100,"Willow","Seedling","Depth"
"2","critical","slice1",1993,"J03-010","Seasonal",100,"Willow","Seedling","Depth"
"3","non_critical","slice1",1994,"J03-010","Seasonal",100,"Willow","Seedling","Depth"
"4","critical","slice1",1994,"J03-010","Seasonal",100,"Willow","Seedling","Depth"
"5","non_critical","slice1",1995,"J03-010","Seasonal",100,"Willow","Seedling","Depth"
"6","critical","slice1",1995,"J03-010","Seasonal",100,"Willow","Seedling","Depth"
"7","non_critical","slice1",1996,"J03-010","Seasonal",100,"Willow","Seedling","Depth"
"8","critical","slice1",1996,"J03-010","Seasonal",100,"Willow","Seedling","Depth"
"9","non_critical","slice1",1997,"J03-010","Seasonal",100,"Willow","Seedling","Depth"
"10","critical","slice1",1997,"J03-010","Seasonal",100,"Willow","Seedling","Depth"
"11","non_critical","slice1",1998,"J03-010","Seasonal",100,"Willow","Seedling","Depth"
"12","critical","slice1",1998,"J03-010","Seasonal",100,"Willow","Seedling","Depth"
"13","non_critical","slice1",1999,"J03-010","Seasonal",100,"Willow","Seedling","Depth"
"14","critical","slice1",1999,"J03-010","Seasonal",100,"Willow","Seedling","Depth"
"15","non_critical","slice1",2000,"J03-010","Seasonal",100,"Willow","Seedling","Depth"
"16","critical","slice1",2000,"J03-010","Seasonal",100,"Willow","Seedling","Depth"
"17","non_critical","slice1",2001,"J03-010","Seasonal",100,"Willow","Seedling","Depth"
"18","critical","slice1",2001,"J03-010","Seasonal",100,"Willow","Seedling","Depth"
"19","non_critical","slice1",2002,"J03-010","Seasonal",100,"Willow","Seedling","Depth"
"20","critical","slice1",2002,"J03-010","Seasonal",100,"Willow","Seedling","Depth"
"21","non_critical","slice1",2003,"J03-010","Seasonal",100,"Willow","Seedling","Depth"
"22","critical","slice1",2003,"J03-010","Seasonal",100,"Willow","Seedling","Depth"
"23","non_critical","slice1",2004,"J03-010","Seasonal",100,"Willow","Seedling","Depth"
"24","critical","slice1",2004,"J03-010","Seasonal",100,"Willow","Seedling","Depth"
"25","non_critical","slice1",2005,"J03-010","Seasonal",100,"Willow","Seedling","Depth"
"26","critical","slice1",2005,"J03-010","Seasonal",100,"Willow","Seedling","Depth"
"27","non_critical","slice1",2006,"J03-010","Seasonal",100,"Willow","Seedling","Depth"
"28","critical","slice1",2006,"J03-010","Seasonal",100,"Willow","Seedling","Depth"
"29","non_critical","slice1",2007,"J03-010","Seasonal",100,"Willow","Seedling","Depth"
"30","critical","slice1",2007,"J03-010","Seasonal",100,"Willow","Seedling","Depth"
"31","non_critical","slice1",2008,"J03-010","Seasonal",100,"Willow","Seedling","Depth"
"32","critical","slice1",2008,"J03-010","Seasonal",100,"Willow","Seedling","Depth"
"33","non_critical","slice1",2009,"J03-010","Seasonal",100,"Willow","Seedling","Depth"
"34","critical","slice1",2009,"J03-010","Seasonal",100,"Willow","Seedling","Depth"
