"","season","position","water_year","Node","Probability_Threshold","value","Species","Life_Stage","Hydraulic"
"1","Winter","slice1",1993,"J01-100","Annual",0.285388127853881,"Chub","Adult","Velocity"
"2","Summer","slice1",1993,"J01-100","Annual",0.285388127853881,"Chub","Adult","Velocity"
"3","Winter","slice1",1994,"J01-100","Annual",1.50684931506849,"Chub","Adult","Velocity"
"4","Summer","slice1",1994,"J01-100","Annual",1.50684931506849,"Chub","Adult","Velocity"
"5","Winter","slice1",1995,"J01-100","Annual",0.398451730418944,"Chub","Adult","Velocity"
"6","Summer","slice1",1995,"J01-100","Annual",0.398451730418944,"Chub","Adult","Velocity"
"7","Winter","slice1",1996,"J01-100","Annual",1.02739726027397,"Chub","Adult","Velocity"
"8","Summer","slice1",1996,"J01-100","Annual",1.02739726027397,"Chub","Adult","Velocity"
"9","Winter","slice1",1997,"J01-100","Annual",1.91780821917808,"Chub","Adult","Velocity"
"10","Summer","slice1",1997,"J01-100","Annual",1.91780821917808,"Chub","Adult","Velocity"
"11","Winter","slice1",1998,"J01-100","Annual",0.0342465753424658,"Chub","Adult","Velocity"
"12","Summer","slice1",1998,"J01-100","Annual",0.0342465753424658,"Chub","Adult","Velocity"
"13","Winter","slice1",1999,"J01-100","Annual",0.125227686703097,"Chub","Adult","Velocity"
"14","Summer","slice1",1999,"J01-100","Annual",0.125227686703097,"Chub","Adult","Velocity"
"15","Winter","slice1",2000,"J01-100","Annual",0.194063926940639,"Chub","Adult","Velocity"
"16","Summer","slice1",2000,"J01-100","Annual",0.194063926940639,"Chub","Adult","Velocity"
"17","Winter","slice1",2001,"J01-100","Annual",0.0228310502283105,"Chub","Adult","Velocity"
"18","Summer","slice1",2001,"J01-100","Annual",0.0228310502283105,"Chub","Adult","Velocity"
"19","Winter","slice1",2002,"J01-100","Annual",0,"Chub","Adult","Velocity"
"20","Summer","slice1",2002,"J01-100","Annual",0,"Chub","Adult","Velocity"
"21","Winter","slice1",2003,"J01-100","Annual",0.011384335154827,"Chub","Adult","Velocity"
"22","Summer","slice1",2003,"J01-100","Annual",0.011384335154827,"Chub","Adult","Velocity"
"23","Winter","slice1",2004,"J01-100","Annual",1.92922374429224,"Chub","Adult","Velocity"
"24","Summer","slice1",2004,"J01-100","Annual",1.92922374429224,"Chub","Adult","Velocity"
"25","Winter","slice1",2005,"J01-100","Annual",0.0114155251141553,"Chub","Adult","Velocity"
"26","Summer","slice1",2005,"J01-100","Annual",0.0114155251141553,"Chub","Adult","Velocity"
"27","Winter","slice1",2006,"J01-100","Annual",0.0114155251141553,"Chub","Adult","Velocity"
"28","Summer","slice1",2006,"J01-100","Annual",0.0114155251141553,"Chub","Adult","Velocity"
"29","Winter","slice1",2007,"J01-100","Annual",0.204918032786885,"Chub","Adult","Velocity"
"30","Summer","slice1",2007,"J01-100","Annual",0.204918032786885,"Chub","Adult","Velocity"
"31","Winter","slice1",2008,"J01-100","Annual",0.4337899543379,"Chub","Adult","Velocity"
"32","Summer","slice1",2008,"J01-100","Annual",0.4337899543379,"Chub","Adult","Velocity"
"33","Winter","slice1",2009,"J01-100","Annual",0.810502283105023,"Chub","Adult","Velocity"
"34","Summer","slice1",2009,"J01-100","Annual",0.810502283105023,"Chub","Adult","Velocity"
"35","Winter","slice1",2010,"J01-100","Annual",0.821917808219178,"Chub","Adult","Velocity"
"36","Summer","slice1",2010,"J01-100","Annual",0.821917808219178,"Chub","Adult","Velocity"
"37","Winter","slice1",2011,"J01-100","Annual",0.0569216757741348,"Chub","Adult","Velocity"
"38","Summer","slice1",2011,"J01-100","Annual",0.0569216757741348,"Chub","Adult","Velocity"
"39","Winter","slice1",2012,"J01-100","Annual",0,"Chub","Adult","Velocity"
"40","Summer","slice1",2012,"J01-100","Annual",0,"Chub","Adult","Velocity"
"41","Winter","slice1",2013,"J01-100","Annual",0.045662100456621,"Chub","Adult","Velocity"
"42","Summer","slice1",2013,"J01-100","Annual",0.045662100456621,"Chub","Adult","Velocity"
"43","Winter","slice1",2014,"J01-100","Annual",0.0799086757990868,"Chub","Adult","Velocity"
"44","Summer","slice1",2014,"J01-100","Annual",0.0799086757990868,"Chub","Adult","Velocity"
"45","Winter","slice1",2015,"J01-100","Annual",0.0683060109289618,"Chub","Adult","Velocity"
"46","Summer","slice1",2015,"J01-100","Annual",0.0683060109289618,"Chub","Adult","Velocity"
"47","Winter","slice1",2016,"J01-100","Annual",0.821917808219178,"Chub","Adult","Velocity"
"48","Summer","slice1",2016,"J01-100","Annual",0.821917808219178,"Chub","Adult","Velocity"
"49","Winter","slice1",2017,"J01-100","Annual",0.045662100456621,"Chub","Adult","Velocity"
"50","Summer","slice1",2017,"J01-100","Annual",0.045662100456621,"Chub","Adult","Velocity"
"51","Winter","slice1",2018,"J01-100","Annual",1.36494252873563,"Chub","Adult","Velocity"
"52","Summer","slice1",2018,"J01-100","Annual",1.36494252873563,"Chub","Adult","Velocity"
"53","Winter","slice2",1993,"J01-100","Annual",99.2922374429224,"Chub","Adult","Velocity"
"54","Summer","slice2",1993,"J01-100","Annual",99.2922374429224,"Chub","Adult","Velocity"
"55","Winter","slice2",1994,"J01-100","Annual",96.3584474885845,"Chub","Adult","Velocity"
"56","Summer","slice2",1994,"J01-100","Annual",96.3584474885845,"Chub","Adult","Velocity"
"57","Winter","slice2",1995,"J01-100","Annual",99.1803278688525,"Chub","Adult","Velocity"
"58","Summer","slice2",1995,"J01-100","Annual",99.1803278688525,"Chub","Adult","Velocity"
"59","Winter","slice2",1996,"J01-100","Annual",97.8881278538813,"Chub","Adult","Velocity"
"60","Summer","slice2",1996,"J01-100","Annual",97.8881278538813,"Chub","Adult","Velocity"
"61","Winter","slice2",1997,"J01-100","Annual",95.365296803653,"Chub","Adult","Velocity"
"62","Summer","slice2",1997,"J01-100","Annual",95.365296803653,"Chub","Adult","Velocity"
"63","Winter","slice2",1998,"J01-100","Annual",99.9086757990868,"Chub","Adult","Velocity"
"64","Summer","slice2",1998,"J01-100","Annual",99.9086757990868,"Chub","Adult","Velocity"
"65","Winter","slice2",1999,"J01-100","Annual",99.6243169398907,"Chub","Adult","Velocity"
"66","Summer","slice2",1999,"J01-100","Annual",99.6243169398907,"Chub","Adult","Velocity"
"67","Winter","slice2",2000,"J01-100","Annual",99.5091324200913,"Chub","Adult","Velocity"
"68","Summer","slice2",2000,"J01-100","Annual",99.5091324200913,"Chub","Adult","Velocity"
"69","Winter","slice2",2001,"J01-100","Annual",99.9771689497717,"Chub","Adult","Velocity"
"70","Summer","slice2",2001,"J01-100","Annual",99.9771689497717,"Chub","Adult","Velocity"
"71","Winter","slice2",2002,"J01-100","Annual",99.9657534246575,"Chub","Adult","Velocity"
"72","Summer","slice2",2002,"J01-100","Annual",99.9657534246575,"Chub","Adult","Velocity"
"73","Winter","slice2",2003,"J01-100","Annual",99.9544626593807,"Chub","Adult","Velocity"
"74","Summer","slice2",2003,"J01-100","Annual",99.9544626593807,"Chub","Adult","Velocity"
"75","Winter","slice2",2004,"J01-100","Annual",95.6506849315068,"Chub","Adult","Velocity"
"76","Summer","slice2",2004,"J01-100","Annual",95.6506849315068,"Chub","Adult","Velocity"
"77","Winter","slice2",2005,"J01-100","Annual",99.9543378995434,"Chub","Adult","Velocity"
"78","Summer","slice2",2005,"J01-100","Annual",99.9543378995434,"Chub","Adult","Velocity"
"79","Winter","slice2",2006,"J01-100","Annual",99.9771689497717,"Chub","Adult","Velocity"
"80","Summer","slice2",2006,"J01-100","Annual",99.9771689497717,"Chub","Adult","Velocity"
"81","Winter","slice2",2007,"J01-100","Annual",99.476320582878,"Chub","Adult","Velocity"
"82","Summer","slice2",2007,"J01-100","Annual",99.476320582878,"Chub","Adult","Velocity"
"83","Winter","slice2",2008,"J01-100","Annual",99.0981735159817,"Chub","Adult","Velocity"
"84","Summer","slice2",2008,"J01-100","Annual",99.0981735159817,"Chub","Adult","Velocity"
"85","Winter","slice2",2009,"J01-100","Annual",98.458904109589,"Chub","Adult","Velocity"
"86","Summer","slice2",2009,"J01-100","Annual",98.458904109589,"Chub","Adult","Velocity"
"87","Winter","slice2",2010,"J01-100","Annual",97.6369863013699,"Chub","Adult","Velocity"
"88","Summer","slice2",2010,"J01-100","Annual",97.6369863013699,"Chub","Adult","Velocity"
"89","Winter","slice2",2011,"J01-100","Annual",99.7950819672131,"Chub","Adult","Velocity"
"90","Summer","slice2",2011,"J01-100","Annual",99.7950819672131,"Chub","Adult","Velocity"
"91","Winter","slice2",2012,"J01-100","Annual",99.8858447488584,"Chub","Adult","Velocity"
"92","Summer","slice2",2012,"J01-100","Annual",99.8858447488584,"Chub","Adult","Velocity"
"93","Winter","slice2",2013,"J01-100","Annual",99.7831050228311,"Chub","Adult","Velocity"
"94","Summer","slice2",2013,"J01-100","Annual",99.7831050228311,"Chub","Adult","Velocity"
"95","Winter","slice2",2014,"J01-100","Annual",99.8401826484018,"Chub","Adult","Velocity"
"96","Summer","slice2",2014,"J01-100","Annual",99.8401826484018,"Chub","Adult","Velocity"
"97","Winter","slice2",2015,"J01-100","Annual",99.8178506375228,"Chub","Adult","Velocity"
"98","Summer","slice2",2015,"J01-100","Annual",99.8178506375228,"Chub","Adult","Velocity"
"99","Winter","slice2",2016,"J01-100","Annual",98.0251141552511,"Chub","Adult","Velocity"
"100","Summer","slice2",2016,"J01-100","Annual",98.0251141552511,"Chub","Adult","Velocity"
"101","Winter","slice2",2017,"J01-100","Annual",99.8744292237443,"Chub","Adult","Velocity"
"102","Summer","slice2",2017,"J01-100","Annual",99.8744292237443,"Chub","Adult","Velocity"
"103","Winter","slice2",2018,"J01-100","Annual",96.6594827586207,"Chub","Adult","Velocity"
"104","Summer","slice2",2018,"J01-100","Annual",96.6594827586207,"Chub","Adult","Velocity"
"105","Winter","slice3",1993,"J01-100","Annual",0.045662100456621,"Chub","Adult","Velocity"
"106","Summer","slice3",1993,"J01-100","Annual",0.045662100456621,"Chub","Adult","Velocity"
"107","Winter","slice3",1994,"J01-100","Annual",0.479452054794521,"Chub","Adult","Velocity"
"108","Summer","slice3",1994,"J01-100","Annual",0.479452054794521,"Chub","Adult","Velocity"
"109","Winter","slice3",1995,"J01-100","Annual",0.0683060109289618,"Chub","Adult","Velocity"
"110","Summer","slice3",1995,"J01-100","Annual",0.0683060109289618,"Chub","Adult","Velocity"
"111","Winter","slice3",1996,"J01-100","Annual",0.331050228310502,"Chub","Adult","Velocity"
"112","Summer","slice3",1996,"J01-100","Annual",0.331050228310502,"Chub","Adult","Velocity"
