"","season","position","water_year","Node","Probability_Threshold","value","Species","Life_Stage","Hydraulic"
"1","Summer","slice1",1999,"L02-050","Annual",0,"Chub","Adult","Velocity"
"2","Winter","slice1",2000,"L02-050","Annual",0.821917808219178,"Chub","Adult","Velocity"
"3","Summer","slice1",2000,"L02-050","Annual",0.821917808219178,"Chub","Adult","Velocity"
"4","Winter","slice1",2001,"L02-050","Annual",0,"Chub","Adult","Velocity"
"5","Summer","slice1",2001,"L02-050","Annual",0,"Chub","Adult","Velocity"
"6","Winter","slice1",2002,"L02-050","Annual",0.821917808219178,"Chub","Adult","Velocity"
"7","Summer","slice1",2002,"L02-050","Annual",0.821917808219178,"Chub","Adult","Velocity"
"8","Winter","slice1",2003,"L02-050","Annual",0.273224043715847,"Chub","Adult","Velocity"
"9","Summer","slice1",2003,"L02-050","Annual",0.273224043715847,"Chub","Adult","Velocity"
"10","Winter","slice1",2004,"L02-050","Annual",2.73972602739726,"Chub","Adult","Velocity"
"11","Summer","slice1",2004,"L02-050","Annual",2.73972602739726,"Chub","Adult","Velocity"
"12","Winter","slice1",2005,"L02-050","Annual",0.273972602739726,"Chub","Adult","Velocity"
"13","Summer","slice1",2005,"L02-050","Annual",0.273972602739726,"Chub","Adult","Velocity"
"14","Winter","slice1",2006,"L02-050","Annual",0,"Chub","Adult","Velocity"
"15","Summer","slice1",2006,"L02-050","Annual",0,"Chub","Adult","Velocity"
"16","Winter","slice1",2007,"L02-050","Annual",0,"Chub","Adult","Velocity"
"17","Summer","slice1",2007,"L02-050","Annual",0,"Chub","Adult","Velocity"
"18","Winter","slice1",2008,"L02-050","Annual",0,"Chub","Adult","Velocity"
"19","Summer","slice1",2008,"L02-050","Annual",0,"Chub","Adult","Velocity"
"20","Winter","slice1",2009,"L02-050","Annual",0.273972602739726,"Chub","Adult","Velocity"
"21","Summer","slice1",2009,"L02-050","Annual",0.273972602739726,"Chub","Adult","Velocity"
"22","Winter","slice1",2010,"L02-050","Annual",0.821917808219178,"Chub","Adult","Velocity"
"23","Summer","slice1",2010,"L02-050","Annual",0.821917808219178,"Chub","Adult","Velocity"
"24","Winter","slice1",2011,"L02-050","Annual",0,"Chub","Adult","Velocity"
"25","Summer","slice1",2011,"L02-050","Annual",0,"Chub","Adult","Velocity"
"26","Winter","slice1",2012,"L02-050","Annual",0,"Chub","Adult","Velocity"
"27","Summer","slice1",2012,"L02-050","Annual",0,"Chub","Adult","Velocity"
"28","Winter","slice1",2013,"L02-050","Annual",0.273972602739726,"Chub","Adult","Velocity"
"29","Summer","slice1",2013,"L02-050","Annual",0.273972602739726,"Chub","Adult","Velocity"
"30","Winter","slice1",2014,"L02-050","Annual",0.273972602739726,"Chub","Adult","Velocity"
"31","Summer","slice1",2014,"L02-050","Annual",0.273972602739726,"Chub","Adult","Velocity"
"32","Winter","slice1",2015,"L02-050","Annual",0,"Chub","Adult","Velocity"
"33","Summer","slice1",2015,"L02-050","Annual",0,"Chub","Adult","Velocity"
"34","Summer","slice2",1999,"L02-050","Annual",6.52173913043478,"Chub","Adult","Velocity"
"35","Winter","slice2",2000,"L02-050","Annual",16.1643835616438,"Chub","Adult","Velocity"
"36","Summer","slice2",2000,"L02-050","Annual",16.1643835616438,"Chub","Adult","Velocity"
"37","Winter","slice2",2001,"L02-050","Annual",12.3287671232877,"Chub","Adult","Velocity"
"38","Summer","slice2",2001,"L02-050","Annual",12.3287671232877,"Chub","Adult","Velocity"
"39","Winter","slice2",2002,"L02-050","Annual",26.027397260274,"Chub","Adult","Velocity"
"40","Summer","slice2",2002,"L02-050","Annual",26.027397260274,"Chub","Adult","Velocity"
"41","Winter","slice2",2003,"L02-050","Annual",10.655737704918,"Chub","Adult","Velocity"
"42","Summer","slice2",2003,"L02-050","Annual",10.655737704918,"Chub","Adult","Velocity"
"43","Winter","slice2",2004,"L02-050","Annual",29.8630136986301,"Chub","Adult","Velocity"
"44","Summer","slice2",2004,"L02-050","Annual",29.8630136986301,"Chub","Adult","Velocity"
"45","Winter","slice2",2005,"L02-050","Annual",43.013698630137,"Chub","Adult","Velocity"
"46","Summer","slice2",2005,"L02-050","Annual",43.013698630137,"Chub","Adult","Velocity"
"47","Winter","slice2",2006,"L02-050","Annual",7.12328767123288,"Chub","Adult","Velocity"
"48","Summer","slice2",2006,"L02-050","Annual",7.12328767123288,"Chub","Adult","Velocity"
"49","Winter","slice2",2007,"L02-050","Annual",13.9344262295082,"Chub","Adult","Velocity"
"50","Summer","slice2",2007,"L02-050","Annual",13.9344262295082,"Chub","Adult","Velocity"
"51","Winter","slice2",2008,"L02-050","Annual",16.1643835616438,"Chub","Adult","Velocity"
"52","Summer","slice2",2008,"L02-050","Annual",16.1643835616438,"Chub","Adult","Velocity"
"53","Winter","slice2",2009,"L02-050","Annual",11.7808219178082,"Chub","Adult","Velocity"
"54","Summer","slice2",2009,"L02-050","Annual",11.7808219178082,"Chub","Adult","Velocity"
"55","Winter","slice2",2010,"L02-050","Annual",26.8493150684932,"Chub","Adult","Velocity"
"56","Summer","slice2",2010,"L02-050","Annual",26.8493150684932,"Chub","Adult","Velocity"
"57","Winter","slice2",2011,"L02-050","Annual",25.9562841530055,"Chub","Adult","Velocity"
"58","Summer","slice2",2011,"L02-050","Annual",25.9562841530055,"Chub","Adult","Velocity"
"59","Winter","slice2",2012,"L02-050","Annual",23.5616438356164,"Chub","Adult","Velocity"
"60","Summer","slice2",2012,"L02-050","Annual",23.5616438356164,"Chub","Adult","Velocity"
"61","Winter","slice2",2013,"L02-050","Annual",18.6301369863014,"Chub","Adult","Velocity"
"62","Summer","slice2",2013,"L02-050","Annual",18.6301369863014,"Chub","Adult","Velocity"
"63","Winter","slice2",2014,"L02-050","Annual",9.58904109589041,"Chub","Adult","Velocity"
"64","Summer","slice2",2014,"L02-050","Annual",9.58904109589041,"Chub","Adult","Velocity"
"65","Winter","slice2",2015,"L02-050","Annual",12.043795620438,"Chub","Adult","Velocity"
"66","Summer","slice2",2015,"L02-050","Annual",12.043795620438,"Chub","Adult","Velocity"
"67","Summer","slice3",1999,"L02-050","Annual",19.5652173913043,"Chub","Adult","Velocity"
"68","Winter","slice3",2000,"L02-050","Annual",25.7534246575342,"Chub","Adult","Velocity"
"69","Summer","slice3",2000,"L02-050","Annual",25.7534246575342,"Chub","Adult","Velocity"
"70","Winter","slice3",2001,"L02-050","Annual",19.4520547945205,"Chub","Adult","Velocity"
"71","Summer","slice3",2001,"L02-050","Annual",19.4520547945205,"Chub","Adult","Velocity"
"72","Winter","slice3",2002,"L02-050","Annual",36.1643835616438,"Chub","Adult","Velocity"
"73","Summer","slice3",2002,"L02-050","Annual",36.1643835616438,"Chub","Adult","Velocity"
"74","Winter","slice3",2003,"L02-050","Annual",18.5792349726776,"Chub","Adult","Velocity"
"75","Summer","slice3",2003,"L02-050","Annual",18.5792349726776,"Chub","Adult","Velocity"
"76","Winter","slice3",2004,"L02-050","Annual",45.7534246575342,"Chub","Adult","Velocity"
"77","Summer","slice3",2004,"L02-050","Annual",45.7534246575342,"Chub","Adult","Velocity"
"78","Winter","slice3",2005,"L02-050","Annual",53.4246575342466,"Chub","Adult","Velocity"
"79","Summer","slice3",2005,"L02-050","Annual",53.4246575342466,"Chub","Adult","Velocity"
"80","Winter","slice3",2006,"L02-050","Annual",17.5342465753425,"Chub","Adult","Velocity"
"81","Summer","slice3",2006,"L02-050","Annual",17.5342465753425,"Chub","Adult","Velocity"
"82","Winter","slice3",2007,"L02-050","Annual",27.0491803278689,"Chub","Adult","Velocity"
"83","Summer","slice3",2007,"L02-050","Annual",27.0491803278689,"Chub","Adult","Velocity"
"84","Winter","slice3",2008,"L02-050","Annual",24.3835616438356,"Chub","Adult","Velocity"
"85","Summer","slice3",2008,"L02-050","Annual",24.3835616438356,"Chub","Adult","Velocity"
"86","Winter","slice3",2009,"L02-050","Annual",20.8219178082192,"Chub","Adult","Velocity"
"87","Summer","slice3",2009,"L02-050","Annual",20.8219178082192,"Chub","Adult","Velocity"
"88","Winter","slice3",2010,"L02-050","Annual",38.6301369863014,"Chub","Adult","Velocity"
"89","Summer","slice3",2010,"L02-050","Annual",38.6301369863014,"Chub","Adult","Velocity"
"90","Winter","slice3",2011,"L02-050","Annual",36.8852459016393,"Chub","Adult","Velocity"
"91","Summer","slice3",2011,"L02-050","Annual",36.8852459016393,"Chub","Adult","Velocity"
"92","Winter","slice3",2012,"L02-050","Annual",36.7123287671233,"Chub","Adult","Velocity"
"93","Summer","slice3",2012,"L02-050","Annual",36.7123287671233,"Chub","Adult","Velocity"
"94","Winter","slice3",2013,"L02-050","Annual",27.3972602739726,"Chub","Adult","Velocity"
"95","Summer","slice3",2013,"L02-050","Annual",27.3972602739726,"Chub","Adult","Velocity"
"96","Winter","slice3",2014,"L02-050","Annual",18.3561643835616,"Chub","Adult","Velocity"
"97","Summer","slice3",2014,"L02-050","Annual",18.3561643835616,"Chub","Adult","Velocity"
"98","Winter","slice3",2015,"L02-050","Annual",17.8832116788321,"Chub","Adult","Velocity"
"99","Summer","slice3",2015,"L02-050","Annual",17.8832116788321,"Chub","Adult","Velocity"
"100","Summer","slice1",1999,"L02-050","Seasonal",0,"Chub","Adult","Velocity"
"101","Winter","slice1",2000,"L02-050","Seasonal",1.64835164835165,"Chub","Adult","Velocity"
"102","Summer","slice1",2000,"L02-050","Seasonal",0,"Chub","Adult","Velocity"
"103","Winter","slice1",2001,"L02-050","Seasonal",0,"Chub","Adult","Velocity"
"104","Summer","slice1",2001,"L02-050","Seasonal",0,"Chub","Adult","Velocity"
"105","Winter","slice1",2002,"L02-050","Seasonal",1.0989010989011,"Chub","Adult","Velocity"
"106","Summer","slice1",2002,"L02-050","Seasonal",0.546448087431694,"Chub","Adult","Velocity"
"107","Winter","slice1",2003,"L02-050","Seasonal",0.546448087431694,"Chub","Adult","Velocity"
"108","Summer","slice1",2003,"L02-050","Seasonal",0,"Chub","Adult","Velocity"
"109","Winter","slice1",2004,"L02-050","Seasonal",5.49450549450549,"Chub","Adult","Velocity"
"110","Summer","slice1",2004,"L02-050","Seasonal",0,"Chub","Adult","Velocity"
"111","Winter","slice1",2005,"L02-050","Seasonal",0,"Chub","Adult","Velocity"
"112","Summer","slice1",2005,"L02-050","Seasonal",0.546448087431694,"Chub","Adult","Velocity"
"113","Winter","slice1",2006,"L02-050","Seasonal",0,"Chub","Adult","Velocity"
"114","Summer","slice1",2006,"L02-050","Seasonal",0,"Chub","Adult","Velocity"
"115","Winter","slice1",2007,"L02-050","Seasonal",0,"Chub","Adult","Velocity"
"116","Summer","slice1",2007,"L02-050","Seasonal",0,"Chub","Adult","Velocity"
"117","Winter","slice1",2008,"L02-050","Seasonal",0,"Chub","Adult","Velocity"
"118","Summer","slice1",2008,"L02-050","Seasonal",0,"Chub","Adult","Velocity"
"119","Winter","slice1",2009,"L02-050","Seasonal",0.549450549450549,"Chub","Adult","Velocity"
"120","Summer","slice1",2009,"L02-050","Seasonal",0,"Chub","Adult","Velocity"
"121","Winter","slice1",2010,"L02-050","Seasonal",1.64835164835165,"Chub","Adult","Velocity"
"122","Summer","slice1",2010,"L02-050","Seasonal",0,"Chub","Adult","Velocity"
"123","Winter","slice1",2011,"L02-050","Seasonal",0,"Chub","Adult","Velocity"
"124","Summer","slice1",2011,"L02-050","Seasonal",0,"Chub","Adult","Velocity"
"125","Winter","slice1",2012,"L02-050","Seasonal",0,"Chub","Adult","Velocity"
"126","Summer","slice1",2012,"L02-050","Seasonal",0,"Chub","Adult","Velocity"
"127","Winter","slice1",2013,"L02-050","Seasonal",0.549450549450549,"Chub","Adult","Velocity"
"128","Summer","slice1",2013,"L02-050","Seasonal",0,"Chub","Adult","Velocity"
"129","Winter","slice1",2014,"L02-050","Seasonal",0,"Chub","Adult","Velocity"
"130","Summer","slice1",2014,"L02-050","Seasonal",0.546448087431694,"Chub","Adult","Velocity"
"131","Winter","slice1",2015,"L02-050","Seasonal",0,"Chub","Adult","Velocity"
"132","Summer","slice1",2015,"L02-050","Seasonal",0,"Chub","Adult","Velocity"
"133","Summer","slice2",1999,"L02-050","Seasonal",6.52173913043478,"Chub","Adult","Velocity"
