"","season","position","water_year","Node","Probability_Threshold","value","Species","Life_Stage","Hydraulic"
"1","non_critical","slice1",1993,"J01-030","Seasonal",99.7792494481236,"Toad","Tadpole","Velocity"
"2","critical","slice1",1993,"J01-030","Seasonal",99.8442367601246,"Toad","Tadpole","Velocity"
"3","non_critical","slice1",1994,"J01-030","Seasonal",98.3719646799117,"Toad","Tadpole","Velocity"
"4","critical","slice1",1994,"J01-030","Seasonal",98.98753894081,"Toad","Tadpole","Velocity"
"5","non_critical","slice1",1995,"J01-030","Seasonal",99.7258771929825,"Toad","Tadpole","Velocity"
"6","critical","slice1",1995,"J01-030","Seasonal",99.9805295950156,"Toad","Tadpole","Velocity"
"7","non_critical","slice1",1996,"J01-030","Seasonal",98.6203090507726,"Toad","Tadpole","Velocity"
"8","critical","slice1",1996,"J01-030","Seasonal",100,"Toad","Tadpole","Velocity"
"9","non_critical","slice1",1997,"J01-030","Seasonal",96.9094922737307,"Toad","Tadpole","Velocity"
"10","critical","slice1",1997,"J01-030","Seasonal",99.4353582554517,"Toad","Tadpole","Velocity"
"11","non_critical","slice1",1998,"J01-030","Seasonal",99.7516556291391,"Toad","Tadpole","Velocity"
"12","critical","slice1",1998,"J01-030","Seasonal",99.9805295950156,"Toad","Tadpole","Velocity"
"13","non_critical","slice1",1999,"J01-030","Seasonal",99.6162280701754,"Toad","Tadpole","Velocity"
"14","critical","slice1",1999,"J01-030","Seasonal",99.8052959501558,"Toad","Tadpole","Velocity"
"15","non_critical","slice1",2000,"J01-030","Seasonal",98.5927152317881,"Toad","Tadpole","Velocity"
"16","critical","slice1",2000,"J01-030","Seasonal",99.9805295950156,"Toad","Tadpole","Velocity"
"17","non_critical","slice1",2001,"J01-030","Seasonal",99.9172185430464,"Toad","Tadpole","Velocity"
"18","critical","slice1",2001,"J01-030","Seasonal",100,"Toad","Tadpole","Velocity"
"19","non_critical","slice1",2002,"J01-030","Seasonal",99.2825607064018,"Toad","Tadpole","Velocity"
"20","critical","slice1",2002,"J01-030","Seasonal",99.3769470404984,"Toad","Tadpole","Velocity"
"21","non_critical","slice1",2003,"J01-030","Seasonal",99.5065789473684,"Toad","Tadpole","Velocity"
"22","critical","slice1",2003,"J01-030","Seasonal",99.9610591900312,"Toad","Tadpole","Velocity"
"23","non_critical","slice1",2004,"J01-030","Seasonal",94.5364238410596,"Toad","Tadpole","Velocity"
"24","critical","slice1",2004,"J01-030","Seasonal",99.9221183800623,"Toad","Tadpole","Velocity"
"25","non_critical","slice1",2005,"J01-030","Seasonal",99.8896247240618,"Toad","Tadpole","Velocity"
"26","critical","slice1",2005,"J01-030","Seasonal",99.8247663551402,"Toad","Tadpole","Velocity"
"27","non_critical","slice1",2006,"J01-030","Seasonal",100,"Toad","Tadpole","Velocity"
"28","critical","slice1",2006,"J01-030","Seasonal",100,"Toad","Tadpole","Velocity"
"29","non_critical","slice1",2007,"J01-030","Seasonal",99.6162280701754,"Toad","Tadpole","Velocity"
"30","critical","slice1",2007,"J01-030","Seasonal",100,"Toad","Tadpole","Velocity"
"31","non_critical","slice1",2008,"J01-030","Seasonal",99.5860927152318,"Toad","Tadpole","Velocity"
"32","critical","slice1",2008,"J01-030","Seasonal",100,"Toad","Tadpole","Velocity"
"33","non_critical","slice1",2009,"J01-030","Seasonal",98.9238410596027,"Toad","Tadpole","Velocity"
"34","critical","slice1",2009,"J01-030","Seasonal",99.9805295950156,"Toad","Tadpole","Velocity"
"35","non_critical","slice1",2010,"J01-030","Seasonal",98.0408388520971,"Toad","Tadpole","Velocity"
"36","critical","slice1",2010,"J01-030","Seasonal",99.8442367601246,"Toad","Tadpole","Velocity"
"37","non_critical","slice1",2011,"J01-030","Seasonal",99.9451754385965,"Toad","Tadpole","Velocity"
"38","critical","slice1",2011,"J01-030","Seasonal",99.9610591900312,"Toad","Tadpole","Velocity"
"39","non_critical","slice1",2012,"J01-030","Seasonal",99.9448123620309,"Toad","Tadpole","Velocity"
"40","critical","slice1",2012,"J01-030","Seasonal",100,"Toad","Tadpole","Velocity"
"41","non_critical","slice1",2013,"J01-030","Seasonal",99.7240618101545,"Toad","Tadpole","Velocity"
"42","critical","slice1",2013,"J01-030","Seasonal",100,"Toad","Tadpole","Velocity"
"43","non_critical","slice1",2014,"J01-030","Seasonal",99.7516556291391,"Toad","Tadpole","Velocity"
"44","critical","slice1",2014,"J01-030","Seasonal",99.8831775700935,"Toad","Tadpole","Velocity"
"45","non_critical","slice1",2015,"J01-030","Seasonal",99.780701754386,"Toad","Tadpole","Velocity"
"46","critical","slice1",2015,"J01-030","Seasonal",99.9415887850467,"Toad","Tadpole","Velocity"
"47","non_critical","slice1",2016,"J01-030","Seasonal",98.233995584989,"Toad","Tadpole","Velocity"
"48","critical","slice1",2016,"J01-030","Seasonal",100,"Toad","Tadpole","Velocity"
"49","non_critical","slice1",2017,"J01-030","Seasonal",99.8344370860927,"Toad","Tadpole","Velocity"
"50","critical","slice1",2017,"J01-030","Seasonal",100,"Toad","Tadpole","Velocity"
"51","non_critical","slice1",2018,"J01-030","Seasonal",98.3443708609272,"Toad","Tadpole","Velocity"
"52","critical","slice1",2018,"J01-030","Seasonal",100,"Toad","Tadpole","Velocity"
"53","non_critical","slice2",1993,"J01-030","Seasonal",99.0894039735099,"Toad","Tadpole","Velocity"
"54","critical","slice2",1993,"J01-030","Seasonal",99.5911214953271,"Toad","Tadpole","Velocity"
"55","non_critical","slice2",1994,"J01-030","Seasonal",94.8951434878587,"Toad","Tadpole","Velocity"
"56","critical","slice2",1994,"J01-030","Seasonal",97.7219626168224,"Toad","Tadpole","Velocity"
"57","non_critical","slice2",1995,"J01-030","Seasonal",98.0811403508772,"Toad","Tadpole","Velocity"
"58","critical","slice2",1995,"J01-030","Seasonal",99.5911214953271,"Toad","Tadpole","Velocity"
"59","non_critical","slice2",1996,"J01-030","Seasonal",96.4679911699779,"Toad","Tadpole","Velocity"
"60","critical","slice2",1996,"J01-030","Seasonal",100,"Toad","Tadpole","Velocity"
"61","non_critical","slice2",1997,"J01-030","Seasonal",91.5286975717439,"Toad","Tadpole","Velocity"
"62","critical","slice2",1997,"J01-030","Seasonal",98.4228971962617,"Toad","Tadpole","Velocity"
"63","non_critical","slice2",1998,"J01-030","Seasonal",99.0618101545254,"Toad","Tadpole","Velocity"
"64","critical","slice2",1998,"J01-030","Seasonal",99.6690031152648,"Toad","Tadpole","Velocity"
"65","non_critical","slice2",1999,"J01-030","Seasonal",98.9309210526316,"Toad","Tadpole","Velocity"
"66","critical","slice2",1999,"J01-030","Seasonal",99.4158878504673,"Toad","Tadpole","Velocity"
"67","non_critical","slice2",2000,"J01-030","Seasonal",96.9922737306843,"Toad","Tadpole","Velocity"
"68","critical","slice2",2000,"J01-030","Seasonal",99.863707165109,"Toad","Tadpole","Velocity"
"69","non_critical","slice2",2001,"J01-030","Seasonal",99.6412803532009,"Toad","Tadpole","Velocity"
"70","critical","slice2",2001,"J01-030","Seasonal",100,"Toad","Tadpole","Velocity"
"71","non_critical","slice2",2002,"J01-030","Seasonal",97.4613686534216,"Toad","Tadpole","Velocity"
"72","critical","slice2",2002,"J01-030","Seasonal",98.4034267912773,"Toad","Tadpole","Velocity"
"73","non_critical","slice2",2003,"J01-030","Seasonal",98.7664473684211,"Toad","Tadpole","Velocity"
"74","critical","slice2",2003,"J01-030","Seasonal",99.863707165109,"Toad","Tadpole","Velocity"
"75","non_critical","slice2",2004,"J01-030","Seasonal",88.9900662251656,"Toad","Tadpole","Velocity"
"76","critical","slice2",2004,"J01-030","Seasonal",99.7079439252336,"Toad","Tadpole","Velocity"
"77","non_critical","slice2",2005,"J01-030","Seasonal",99.0894039735099,"Toad","Tadpole","Velocity"
"78","critical","slice2",2005,"J01-030","Seasonal",99.2795950155763,"Toad","Tadpole","Velocity"
"79","non_critical","slice2",2006,"J01-030","Seasonal",99.9172185430464,"Toad","Tadpole","Velocity"
"80","critical","slice2",2006,"J01-030","Seasonal",99.9221183800623,"Toad","Tadpole","Velocity"
"81","non_critical","slice2",2007,"J01-030","Seasonal",98.547149122807,"Toad","Tadpole","Velocity"
"82","critical","slice2",2007,"J01-030","Seasonal",100,"Toad","Tadpole","Velocity"
"83","non_critical","slice2",2008,"J01-030","Seasonal",98.233995584989,"Toad","Tadpole","Velocity"
"84","critical","slice2",2008,"J01-030","Seasonal",100,"Toad","Tadpole","Velocity"
"85","non_critical","slice2",2009,"J01-030","Seasonal",96.8543046357616,"Toad","Tadpole","Velocity"
"86","critical","slice2",2009,"J01-030","Seasonal",99.9221183800623,"Toad","Tadpole","Velocity"
"87","non_critical","slice2",2010,"J01-030","Seasonal",95.3918322295806,"Toad","Tadpole","Velocity"
"88","critical","slice2",2010,"J01-030","Seasonal",99.6105919003115,"Toad","Tadpole","Velocity"
"89","non_critical","slice2",2011,"J01-030","Seasonal",99.0405701754386,"Toad","Tadpole","Velocity"
"90","critical","slice2",2011,"J01-030","Seasonal",99.493769470405,"Toad","Tadpole","Velocity"
"91","non_critical","slice2",2012,"J01-030","Seasonal",99.4205298013245,"Toad","Tadpole","Velocity"
"92","critical","slice2",2012,"J01-030","Seasonal",99.8052959501558,"Toad","Tadpole","Velocity"
"93","non_critical","slice2",2013,"J01-030","Seasonal",99.1997792494481,"Toad","Tadpole","Velocity"
"94","critical","slice2",2013,"J01-030","Seasonal",99.863707165109,"Toad","Tadpole","Velocity"
"95","non_critical","slice2",2014,"J01-030","Seasonal",98.7306843267108,"Toad","Tadpole","Velocity"
"96","critical","slice2",2014,"J01-030","Seasonal",99.7468847352025,"Toad","Tadpole","Velocity"
"97","non_critical","slice2",2015,"J01-030","Seasonal",98.8486842105263,"Toad","Tadpole","Velocity"
"98","critical","slice2",2015,"J01-030","Seasonal",99.8442367601246,"Toad","Tadpole","Velocity"
"99","non_critical","slice2",2016,"J01-030","Seasonal",94.3984547461369,"Toad","Tadpole","Velocity"
"100","critical","slice2",2016,"J01-030","Seasonal",99.9026479750779,"Toad","Tadpole","Velocity"
"101","non_critical","slice2",2017,"J01-030","Seasonal",99.5584988962472,"Toad","Tadpole","Velocity"
"102","critical","slice2",2017,"J01-030","Seasonal",99.9026479750779,"Toad","Tadpole","Velocity"
"103","non_critical","slice2",2018,"J01-030","Seasonal",94.7019867549669,"Toad","Tadpole","Velocity"
"104","critical","slice2",2018,"J01-030","Seasonal",99.1255144032922,"Toad","Tadpole","Velocity"
"105","non_critical","slice3",1993,"J01-030","Seasonal",0,"Toad","Tadpole","Velocity"
"106","critical","slice3",1993,"J01-030","Seasonal",35.3971962616822,"Toad","Tadpole","Velocity"
"107","non_critical","slice3",1994,"J01-030","Seasonal",0,"Toad","Tadpole","Velocity"
"108","critical","slice3",1994,"J01-030","Seasonal",0,"Toad","Tadpole","Velocity"
"109","non_critical","slice3",1995,"J01-030","Seasonal",0,"Toad","Tadpole","Velocity"
"110","critical","slice3",1995,"J01-030","Seasonal",3.71884735202492,"Toad","Tadpole","Velocity"
"111","non_critical","slice3",1996,"J01-030","Seasonal",0,"Toad","Tadpole","Velocity"
"112","critical","slice3",1996,"J01-030","Seasonal",26.3629283489097,"Toad","Tadpole","Velocity"
"113","non_critical","slice3",1997,"J01-030","Seasonal",0,"Toad","Tadpole","Velocity"
"114","critical","slice3",1997,"J01-030","Seasonal",0,"Toad","Tadpole","Velocity"
"115","non_critical","slice3",1998,"J01-030","Seasonal",0,"Toad","Tadpole","Velocity"
"116","critical","slice3",1998,"J01-030","Seasonal",0,"Toad","Tadpole","Velocity"
"117","non_critical","slice3",1999,"J01-030","Seasonal",0,"Toad","Tadpole","Velocity"
"118","critical","slice3",1999,"J01-030","Seasonal",33.8200934579439,"Toad","Tadpole","Velocity"
"119","non_critical","slice3",2000,"J01-030","Seasonal",0,"Toad","Tadpole","Velocity"
"120","critical","slice3",2000,"J01-030","Seasonal",36.0591900311526,"Toad","Tadpole","Velocity"
"121","non_critical","slice3",2001,"J01-030","Seasonal",0.0275938189845475,"Toad","Tadpole","Velocity"
"122","critical","slice3",2001,"J01-030","Seasonal",62.2663551401869,"Toad","Tadpole","Velocity"
"123","non_critical","slice3",2002,"J01-030","Seasonal",22.4337748344371,"Toad","Tadpole","Velocity"
"124","critical","slice3",2002,"J01-030","Seasonal",50.3309968847352,"Toad","Tadpole","Velocity"
"125","non_critical","slice3",2003,"J01-030","Seasonal",13.5416666666667,"Toad","Tadpole","Velocity"
"126","critical","slice3",2003,"J01-030","Seasonal",69.2951713395639,"Toad","Tadpole","Velocity"
"127","non_critical","slice3",2004,"J01-030","Seasonal",13.3278145695364,"Toad","Tadpole","Velocity"
"128","critical","slice3",2004,"J01-030","Seasonal",0,"Toad","Tadpole","Velocity"
"129","non_critical","slice3",2005,"J01-030","Seasonal",0,"Toad","Tadpole","Velocity"
"130","critical","slice3",2005,"J01-030","Seasonal",19.9376947040498,"Toad","Tadpole","Velocity"
"131","non_critical","slice3",2006,"J01-030","Seasonal",0,"Toad","Tadpole","Velocity"
"132","critical","slice3",2006,"J01-030","Seasonal",53.0568535825545,"Toad","Tadpole","Velocity"
"133","non_critical","slice3",2007,"J01-030","Seasonal",12.8289473684211,"Toad","Tadpole","Velocity"
"134","critical","slice3",2007,"J01-030","Seasonal",69.0031152647975,"Toad","Tadpole","Velocity"
"135","non_critical","slice3",2008,"J01-030","Seasonal",42.7152317880795,"Toad","Tadpole","Velocity"
"136","critical","slice3",2008,"J01-030","Seasonal",75.2336448598131,"Toad","Tadpole","Velocity"
"137","non_critical","slice3",2009,"J01-030","Seasonal",68.4602649006623,"Toad","Tadpole","Velocity"
"138","critical","slice3",2009,"J01-030","Seasonal",75.4283489096573,"Toad","Tadpole","Velocity"
"139","non_critical","slice3",2010,"J01-030","Seasonal",45.916114790287,"Toad","Tadpole","Velocity"
"140","critical","slice3",2010,"J01-030","Seasonal",56.1915887850467,"Toad","Tadpole","Velocity"
"141","non_critical","slice3",2011,"J01-030","Seasonal",14.5833333333333,"Toad","Tadpole","Velocity"
"142","critical","slice3",2011,"J01-030","Seasonal",70.6580996884735,"Toad","Tadpole","Velocity"
"143","non_critical","slice3",2012,"J01-030","Seasonal",67.3841059602649,"Toad","Tadpole","Velocity"
"144","critical","slice3",2012,"J01-030","Seasonal",81.4447040498442,"Toad","Tadpole","Velocity"
"145","non_critical","slice3",2013,"J01-030","Seasonal",96.4679911699779,"Toad","Tadpole","Velocity"
"146","critical","slice3",2013,"J01-030","Seasonal",90.1090342679128,"Toad","Tadpole","Velocity"
"147","non_critical","slice3",2014,"J01-030","Seasonal",94.0949227373068,"Toad","Tadpole","Velocity"
"148","critical","slice3",2014,"J01-030","Seasonal",95.268691588785,"Toad","Tadpole","Velocity"
"149","non_critical","slice3",2015,"J01-030","Seasonal",95.4495614035088,"Toad","Tadpole","Velocity"
"150","critical","slice3",2015,"J01-030","Seasonal",97.702492211838,"Toad","Tadpole","Velocity"
"151","non_critical","slice3",2016,"J01-030","Seasonal",60.9823399558499,"Toad","Tadpole","Velocity"
"152","critical","slice3",2016,"J01-030","Seasonal",78.8356697819315,"Toad","Tadpole","Velocity"
"153","non_critical","slice3",2017,"J01-030","Seasonal",97.7924944812362,"Toad","Tadpole","Velocity"
"154","critical","slice3",2017,"J01-030","Seasonal",96.1643302180685,"Toad","Tadpole","Velocity"
"155","non_critical","slice3",2018,"J01-030","Seasonal",70.7505518763797,"Toad","Tadpole","Velocity"
"156","critical","slice3",2018,"J01-030","Seasonal",20.5761316872428,"Toad","Tadpole","Velocity"
"157","non_critical","slice4",1993,"J01-030","Seasonal",98.7030905077263,"Toad","Tadpole","Velocity"
"158","critical","slice4",1993,"J01-030","Seasonal",99.493769470405,"Toad","Tadpole","Velocity"
"159","non_critical","slice4",1994,"J01-030","Seasonal",93.8741721854305,"Toad","Tadpole","Velocity"
"160","critical","slice4",1994,"J01-030","Seasonal",97.2936137071651,"Toad","Tadpole","Velocity"
"161","non_critical","slice4",1995,"J01-030","Seasonal",97.5877192982456,"Toad","Tadpole","Velocity"
"162","critical","slice4",1995,"J01-030","Seasonal",99.3964174454829,"Toad","Tadpole","Velocity"
"163","non_critical","slice4",1996,"J01-030","Seasonal",95.612582781457,"Toad","Tadpole","Velocity"
"164","critical","slice4",1996,"J01-030","Seasonal",100,"Toad","Tadpole","Velocity"
"165","non_critical","slice4",1997,"J01-030","Seasonal",89.817880794702,"Toad","Tadpole","Velocity"
"166","critical","slice4",1997,"J01-030","Seasonal",98.0529595015576,"Toad","Tadpole","Velocity"
"167","non_critical","slice4",1998,"J01-030","Seasonal",98.7306843267108,"Toad","Tadpole","Velocity"
"168","critical","slice4",1998,"J01-030","Seasonal",99.6105919003115,"Toad","Tadpole","Velocity"
"169","non_critical","slice4",1999,"J01-030","Seasonal",98.7116228070175,"Toad","Tadpole","Velocity"
"170","critical","slice4",1999,"J01-030","Seasonal",99.2017133956386,"Toad","Tadpole","Velocity"
"171","non_critical","slice4",2000,"J01-030","Seasonal",96.1092715231788,"Toad","Tadpole","Velocity"
"172","critical","slice4",2000,"J01-030","Seasonal",99.7079439252336,"Toad","Tadpole","Velocity"
