"","month_year","water_year","month","position","Node","season","Probability_Threshold","n_days","Species","Life_Stage","Hydraulic"
"1",Jan 1993,1993,1,"slice1","J01-030","non_critical","days_per_month",31,"Toad","Tadpole","Velocity"
"2",Jan 1993,1993,1,"slice2","J01-030","non_critical","days_per_month",30,"Toad","Tadpole","Velocity"
"3",Jan 1993,1993,1,"slice3","J01-030","non_critical","days_per_month",0,"Toad","Tadpole","Velocity"
"4",Jan 1993,1993,1,"slice4","J01-030","non_critical","days_per_month",30,"Toad","Tadpole","Velocity"
"5",Jan 1993,1993,1,"slice5","J01-030","non_critical","days_per_month",31,"Toad","Tadpole","Velocity"
"6",Jan 1994,1994,1,"slice1","J01-030","non_critical","days_per_month",23,"Toad","Tadpole","Velocity"
"7",Jan 1994,1994,1,"slice2","J01-030","non_critical","days_per_month",16,"Toad","Tadpole","Velocity"
"8",Jan 1994,1994,1,"slice3","J01-030","non_critical","days_per_month",0,"Toad","Tadpole","Velocity"
"9",Jan 1994,1994,1,"slice4","J01-030","non_critical","days_per_month",16,"Toad","Tadpole","Velocity"
"10",Jan 1994,1994,1,"slice5","J01-030","non_critical","days_per_month",31,"Toad","Tadpole","Velocity"
"11",Jan 1995,1995,1,"slice1","J01-030","non_critical","days_per_month",30,"Toad","Tadpole","Velocity"
"12",Jan 1995,1995,1,"slice2","J01-030","non_critical","days_per_month",27,"Toad","Tadpole","Velocity"
"13",Jan 1995,1995,1,"slice3","J01-030","non_critical","days_per_month",0,"Toad","Tadpole","Velocity"
"14",Jan 1995,1995,1,"slice4","J01-030","non_critical","days_per_month",27,"Toad","Tadpole","Velocity"
"15",Jan 1995,1995,1,"slice5","J01-030","non_critical","days_per_month",31,"Toad","Tadpole","Velocity"
"16",Jan 1996,1996,1,"slice1","J01-030","non_critical","days_per_month",28,"Toad","Tadpole","Velocity"
"17",Jan 1996,1996,1,"slice2","J01-030","non_critical","days_per_month",23,"Toad","Tadpole","Velocity"
"18",Jan 1996,1996,1,"slice3","J01-030","non_critical","days_per_month",0,"Toad","Tadpole","Velocity"
"19",Jan 1996,1996,1,"slice4","J01-030","non_critical","days_per_month",22,"Toad","Tadpole","Velocity"
"20",Jan 1996,1996,1,"slice5","J01-030","non_critical","days_per_month",31,"Toad","Tadpole","Velocity"
"21",Jan 1997,1997,1,"slice1","J01-030","non_critical","days_per_month",30,"Toad","Tadpole","Velocity"
"22",Jan 1997,1997,1,"slice2","J01-030","non_critical","days_per_month",26,"Toad","Tadpole","Velocity"
"23",Jan 1997,1997,1,"slice3","J01-030","non_critical","days_per_month",0,"Toad","Tadpole","Velocity"
"24",Jan 1997,1997,1,"slice4","J01-030","non_critical","days_per_month",26,"Toad","Tadpole","Velocity"
"25",Jan 1997,1997,1,"slice5","J01-030","non_critical","days_per_month",31,"Toad","Tadpole","Velocity"
"26",Jan 1998,1998,1,"slice1","J01-030","non_critical","days_per_month",30,"Toad","Tadpole","Velocity"
"27",Jan 1998,1998,1,"slice2","J01-030","non_critical","days_per_month",28,"Toad","Tadpole","Velocity"
"28",Jan 1998,1998,1,"slice3","J01-030","non_critical","days_per_month",0,"Toad","Tadpole","Velocity"
"29",Jan 1998,1998,1,"slice4","J01-030","non_critical","days_per_month",28,"Toad","Tadpole","Velocity"
"30",Jan 1998,1998,1,"slice5","J01-030","non_critical","days_per_month",31,"Toad","Tadpole","Velocity"
"31",Jan 1999,1999,1,"slice1","J01-030","non_critical","days_per_month",31,"Toad","Tadpole","Velocity"
"32",Jan 1999,1999,1,"slice2","J01-030","non_critical","days_per_month",31,"Toad","Tadpole","Velocity"
"33",Jan 1999,1999,1,"slice3","J01-030","non_critical","days_per_month",0,"Toad","Tadpole","Velocity"
"34",Jan 1999,1999,1,"slice4","J01-030","non_critical","days_per_month",31,"Toad","Tadpole","Velocity"
"35",Jan 1999,1999,1,"slice5","J01-030","non_critical","days_per_month",31,"Toad","Tadpole","Velocity"
"36",Jan 2000,2000,1,"slice1","J01-030","non_critical","days_per_month",30,"Toad","Tadpole","Velocity"
"37",Jan 2000,2000,1,"slice2","J01-030","non_critical","days_per_month",27,"Toad","Tadpole","Velocity"
"38",Jan 2000,2000,1,"slice3","J01-030","non_critical","days_per_month",0,"Toad","Tadpole","Velocity"
"39",Jan 2000,2000,1,"slice4","J01-030","non_critical","days_per_month",27,"Toad","Tadpole","Velocity"
"40",Jan 2000,2000,1,"slice5","J01-030","non_critical","days_per_month",31,"Toad","Tadpole","Velocity"
"41",Jan 2001,2001,1,"slice1","J01-030","non_critical","days_per_month",30,"Toad","Tadpole","Velocity"
"42",Jan 2001,2001,1,"slice2","J01-030","non_critical","days_per_month",30,"Toad","Tadpole","Velocity"
"43",Jan 2001,2001,1,"slice3","J01-030","non_critical","days_per_month",0,"Toad","Tadpole","Velocity"
"44",Jan 2001,2001,1,"slice4","J01-030","non_critical","days_per_month",30,"Toad","Tadpole","Velocity"
"45",Jan 2001,2001,1,"slice5","J01-030","non_critical","days_per_month",31,"Toad","Tadpole","Velocity"
"46",Jan 2002,2002,1,"slice1","J01-030","non_critical","days_per_month",31,"Toad","Tadpole","Velocity"
"47",Jan 2002,2002,1,"slice2","J01-030","non_critical","days_per_month",31,"Toad","Tadpole","Velocity"
"48",Jan 2002,2002,1,"slice3","J01-030","non_critical","days_per_month",0,"Toad","Tadpole","Velocity"
"49",Jan 2002,2002,1,"slice4","J01-030","non_critical","days_per_month",31,"Toad","Tadpole","Velocity"
"50",Jan 2002,2002,1,"slice5","J01-030","non_critical","days_per_month",31,"Toad","Tadpole","Velocity"
"51",Jan 2003,2003,1,"slice1","J01-030","non_critical","days_per_month",31,"Toad","Tadpole","Velocity"
"52",Jan 2003,2003,1,"slice2","J01-030","non_critical","days_per_month",31,"Toad","Tadpole","Velocity"
