"","season","position","water_year","Node","Probability_Threshold","value","Species","Life_Stage","Hydraulic"
"1","non_critical","slice1",1993,"J01-070","Seasonal",0,"Toad","Breeding/Eggs","Velocity"
"2","critical","slice1",1993,"J01-070","Seasonal",0,"Toad","Breeding/Eggs","Velocity"
"3","non_critical","slice1",1994,"J01-070","Seasonal",0,"Toad","Breeding/Eggs","Velocity"
"4","critical","slice1",1994,"J01-070","Seasonal",0,"Toad","Breeding/Eggs","Velocity"
"5","non_critical","slice1",1995,"J01-070","Seasonal",0,"Toad","Breeding/Eggs","Velocity"
"6","critical","slice1",1995,"J01-070","Seasonal",0,"Toad","Breeding/Eggs","Velocity"
"7","non_critical","slice1",1996,"J01-070","Seasonal",0,"Toad","Breeding/Eggs","Velocity"
"8","critical","slice1",1996,"J01-070","Seasonal",0,"Toad","Breeding/Eggs","Velocity"
"9","non_critical","slice1",1997,"J01-070","Seasonal",0,"Toad","Breeding/Eggs","Velocity"
"10","critical","slice1",1997,"J01-070","Seasonal",0,"Toad","Breeding/Eggs","Velocity"
"11","non_critical","slice1",1998,"J01-070","Seasonal",0,"Toad","Breeding/Eggs","Velocity"
"12","critical","slice1",1998,"J01-070","Seasonal",0,"Toad","Breeding/Eggs","Velocity"
"13","non_critical","slice1",1999,"J01-070","Seasonal",0,"Toad","Breeding/Eggs","Velocity"
"14","critical","slice1",1999,"J01-070","Seasonal",0,"Toad","Breeding/Eggs","Velocity"
"15","non_critical","slice1",2000,"J01-070","Seasonal",0,"Toad","Breeding/Eggs","Velocity"
"16","critical","slice1",2000,"J01-070","Seasonal",0,"Toad","Breeding/Eggs","Velocity"
"17","non_critical","slice1",2001,"J01-070","Seasonal",0,"Toad","Breeding/Eggs","Velocity"
"18","critical","slice1",2001,"J01-070","Seasonal",0,"Toad","Breeding/Eggs","Velocity"
"19","non_critical","slice1",2002,"J01-070","Seasonal",0,"Toad","Breeding/Eggs","Velocity"
"20","critical","slice1",2002,"J01-070","Seasonal",0,"Toad","Breeding/Eggs","Velocity"
"21","non_critical","slice1",2003,"J01-070","Seasonal",0,"Toad","Breeding/Eggs","Velocity"
"22","critical","slice1",2003,"J01-070","Seasonal",0,"Toad","Breeding/Eggs","Velocity"
"23","non_critical","slice1",2004,"J01-070","Seasonal",0,"Toad","Breeding/Eggs","Velocity"
"24","critical","slice1",2004,"J01-070","Seasonal",0,"Toad","Breeding/Eggs","Velocity"
"25","non_critical","slice1",2005,"J01-070","Seasonal",0,"Toad","Breeding/Eggs","Velocity"
"26","critical","slice1",2005,"J01-070","Seasonal",0,"Toad","Breeding/Eggs","Velocity"
"27","non_critical","slice1",2006,"J01-070","Seasonal",0,"Toad","Breeding/Eggs","Velocity"
"28","critical","slice1",2006,"J01-070","Seasonal",0,"Toad","Breeding/Eggs","Velocity"
"29","non_critical","slice1",2007,"J01-070","Seasonal",0,"Toad","Breeding/Eggs","Velocity"
"30","critical","slice1",2007,"J01-070","Seasonal",0,"Toad","Breeding/Eggs","Velocity"
"31","non_critical","slice1",2008,"J01-070","Seasonal",0,"Toad","Breeding/Eggs","Velocity"
"32","critical","slice1",2008,"J01-070","Seasonal",0,"Toad","Breeding/Eggs","Velocity"
"33","non_critical","slice1",2009,"J01-070","Seasonal",0,"Toad","Breeding/Eggs","Velocity"
"34","critical","slice1",2009,"J01-070","Seasonal",0,"Toad","Breeding/Eggs","Velocity"
"35","non_critical","slice1",2010,"J01-070","Seasonal",0,"Toad","Breeding/Eggs","Velocity"
"36","critical","slice1",2010,"J01-070","Seasonal",0,"Toad","Breeding/Eggs","Velocity"
"37","non_critical","slice1",2011,"J01-070","Seasonal",0,"Toad","Breeding/Eggs","Velocity"
"38","critical","slice1",2011,"J01-070","Seasonal",0,"Toad","Breeding/Eggs","Velocity"
"39","non_critical","slice1",2012,"J01-070","Seasonal",0,"Toad","Breeding/Eggs","Velocity"
"40","critical","slice1",2012,"J01-070","Seasonal",0,"Toad","Breeding/Eggs","Velocity"
"41","non_critical","slice1",2013,"J01-070","Seasonal",0,"Toad","Breeding/Eggs","Velocity"
"42","critical","slice1",2013,"J01-070","Seasonal",0,"Toad","Breeding/Eggs","Velocity"
"43","non_critical","slice1",2014,"J01-070","Seasonal",0,"Toad","Breeding/Eggs","Velocity"
"44","critical","slice1",2014,"J01-070","Seasonal",0,"Toad","Breeding/Eggs","Velocity"
"45","non_critical","slice1",2015,"J01-070","Seasonal",0,"Toad","Breeding/Eggs","Velocity"
"46","critical","slice1",2015,"J01-070","Seasonal",0,"Toad","Breeding/Eggs","Velocity"
"47","non_critical","slice1",2016,"J01-070","Seasonal",0,"Toad","Breeding/Eggs","Velocity"
"48","critical","slice1",2016,"J01-070","Seasonal",0,"Toad","Breeding/Eggs","Velocity"
"49","non_critical","slice1",2017,"J01-070","Seasonal",0,"Toad","Breeding/Eggs","Velocity"
"50","critical","slice1",2017,"J01-070","Seasonal",0,"Toad","Breeding/Eggs","Velocity"
"51","non_critical","slice1",2018,"J01-070","Seasonal",0,"Toad","Breeding/Eggs","Velocity"
"52","critical","slice1",2018,"J01-070","Seasonal",0,"Toad","Breeding/Eggs","Velocity"
