"","month_year","water_year","month","position","Node","season","Probability_Threshold","n_days","Species","Life_Stage","Hydraulic"
"1",Jan 1993,1993,1,"slice1","J01-090","non_critical","days_per_month",31,"Toad","Breeding/Eggs","Depth"
"2",Jan 1993,1993,1,"slice2","J01-090","non_critical","days_per_month",29,"Toad","Breeding/Eggs","Depth"
"3",Jan 1994,1994,1,"slice1","J01-090","non_critical","days_per_month",31,"Toad","Breeding/Eggs","Depth"
"4",Jan 1994,1994,1,"slice2","J01-090","non_critical","days_per_month",16,"Toad","Breeding/Eggs","Depth"
"5",Jan 1995,1995,1,"slice1","J01-090","non_critical","days_per_month",31,"Toad","Breeding/Eggs","Depth"
"6",Jan 1995,1995,1,"slice2","J01-090","non_critical","days_per_month",27,"Toad","Breeding/Eggs","Depth"
"7",Jan 1996,1996,1,"slice1","J01-090","non_critical","days_per_month",31,"Toad","Breeding/Eggs","Depth"
"8",Jan 1996,1996,1,"slice2","J01-090","non_critical","days_per_month",20,"Toad","Breeding/Eggs","Depth"
"9",Jan 1997,1997,1,"slice1","J01-090","non_critical","days_per_month",31,"Toad","Breeding/Eggs","Depth"
"10",Jan 1997,1997,1,"slice2","J01-090","non_critical","days_per_month",24,"Toad","Breeding/Eggs","Depth"
"11",Jan 1998,1998,1,"slice1","J01-090","non_critical","days_per_month",31,"Toad","Breeding/Eggs","Depth"
"12",Jan 1998,1998,1,"slice2","J01-090","non_critical","days_per_month",27,"Toad","Breeding/Eggs","Depth"
"13",Jan 1999,1999,1,"slice1","J01-090","non_critical","days_per_month",31,"Toad","Breeding/Eggs","Depth"
"14",Jan 1999,1999,1,"slice2","J01-090","non_critical","days_per_month",31,"Toad","Breeding/Eggs","Depth"
"15",Jan 2000,2000,1,"slice1","J01-090","non_critical","days_per_month",31,"Toad","Breeding/Eggs","Depth"
"16",Jan 2000,2000,1,"slice2","J01-090","non_critical","days_per_month",27,"Toad","Breeding/Eggs","Depth"
"17",Jan 2001,2001,1,"slice1","J01-090","non_critical","days_per_month",31,"Toad","Breeding/Eggs","Depth"
"18",Jan 2001,2001,1,"slice2","J01-090","non_critical","days_per_month",31,"Toad","Breeding/Eggs","Depth"
"19",Jan 2002,2002,1,"slice1","J01-090","non_critical","days_per_month",31,"Toad","Breeding/Eggs","Depth"
"20",Jan 2002,2002,1,"slice2","J01-090","non_critical","days_per_month",31,"Toad","Breeding/Eggs","Depth"
"21",Jan 2003,2003,1,"slice1","J01-090","non_critical","days_per_month",31,"Toad","Breeding/Eggs","Depth"
"22",Jan 2003,2003,1,"slice2","J01-090","non_critical","days_per_month",31,"Toad","Breeding/Eggs","Depth"
"23",Jan 2004,2004,1,"slice1","J01-090","non_critical","days_per_month",31,"Toad","Breeding/Eggs","Depth"
"24",Jan 2004,2004,1,"slice2","J01-090","non_critical","days_per_month",21,"Toad","Breeding/Eggs","Depth"
"25",Jan 2005,2005,1,"slice1","J01-090","non_critical","days_per_month",31,"Toad","Breeding/Eggs","Depth"
"26",Jan 2005,2005,1,"slice2","J01-090","non_critical","days_per_month",30,"Toad","Breeding/Eggs","Depth"
"27",Jan 2006,2006,1,"slice1","J01-090","non_critical","days_per_month",31,"Toad","Breeding/Eggs","Depth"
"28",Jan 2006,2006,1,"slice2","J01-090","non_critical","days_per_month",31,"Toad","Breeding/Eggs","Depth"
"29",Jan 2007,2007,1,"slice1","J01-090","non_critical","days_per_month",31,"Toad","Breeding/Eggs","Depth"
"30",Jan 2007,2007,1,"slice2","J01-090","non_critical","days_per_month",24,"Toad","Breeding/Eggs","Depth"
"31",Jan 2008,2008,1,"slice1","J01-090","non_critical","days_per_month",31,"Toad","Breeding/Eggs","Depth"
"32",Jan 2008,2008,1,"slice2","J01-090","non_critical","days_per_month",30,"Toad","Breeding/Eggs","Depth"
"33",Jan 2009,2009,1,"slice1","J01-090","non_critical","days_per_month",31,"Toad","Breeding/Eggs","Depth"
"34",Jan 2009,2009,1,"slice2","J01-090","non_critical","days_per_month",25,"Toad","Breeding/Eggs","Depth"
"35",Jan 2010,2010,1,"slice1","J01-090","non_critical","days_per_month",31,"Toad","Breeding/Eggs","Depth"
"36",Jan 2010,2010,1,"slice2","J01-090","non_critical","days_per_month",30,"Toad","Breeding/Eggs","Depth"
"37",Jan 2011,2011,1,"slice1","J01-090","non_critical","days_per_month",31,"Toad","Breeding/Eggs","Depth"
"38",Jan 2011,2011,1,"slice2","J01-090","non_critical","days_per_month",29,"Toad","Breeding/Eggs","Depth"
"39",Jan 2012,2012,1,"slice1","J01-090","non_critical","days_per_month",31,"Toad","Breeding/Eggs","Depth"
"40",Jan 2012,2012,1,"slice2","J01-090","non_critical","days_per_month",29,"Toad","Breeding/Eggs","Depth"
"41",Jan 2013,2013,1,"slice1","J01-090","non_critical","days_per_month",31,"Toad","Breeding/Eggs","Depth"
"42",Jan 2013,2013,1,"slice2","J01-090","non_critical","days_per_month",31,"Toad","Breeding/Eggs","Depth"
"43",Jan 2014,2014,1,"slice1","J01-090","non_critical","days_per_month",31,"Toad","Breeding/Eggs","Depth"
"44",Jan 2014,2014,1,"slice2","J01-090","non_critical","days_per_month",30,"Toad","Breeding/Eggs","Depth"
"45",Jan 2015,2015,1,"slice1","J01-090","non_critical","days_per_month",31,"Toad","Breeding/Eggs","Depth"
"46",Jan 2015,2015,1,"slice2","J01-090","non_critical","days_per_month",27,"Toad","Breeding/Eggs","Depth"
"47",Jan 2016,2016,1,"slice1","J01-090","non_critical","days_per_month",31,"Toad","Breeding/Eggs","Depth"
"48",Jan 2016,2016,1,"slice2","J01-090","non_critical","days_per_month",20,"Toad","Breeding/Eggs","Depth"
"49",Jan 2017,2017,1,"slice1","J01-090","non_critical","days_per_month",31,"Toad","Breeding/Eggs","Depth"
"50",Jan 2017,2017,1,"slice2","J01-090","non_critical","days_per_month",30,"Toad","Breeding/Eggs","Depth"
"51",Jan 2018,2018,1,"slice1","J01-090","non_critical","days_per_month",31,"Toad","Breeding/Eggs","Depth"
"52",Jan 2018,2018,1,"slice2","J01-090","non_critical","days_per_month",23,"Toad","Breeding/Eggs","Depth"
