"","position","water_year","Node","season","Probability_Threshold","value","Species","Life_Stage","Hydraulic"
"1","slice1",1999,"L02-040","critical","Seasonal",26.0869565217391,"Toad","Breeding/Eggs","Depth"
"2","slice1",2000,"L02-040","non_critical","Seasonal",24.5033112582781,"Toad","Breeding/Eggs","Depth"
"3","slice1",2000,"L02-040","critical","Seasonal",94.8598130841121,"Toad","Breeding/Eggs","Depth"
"4","slice1",2001,"L02-040","non_critical","Seasonal",75.4966887417219,"Toad","Breeding/Eggs","Depth"
"5","slice1",2001,"L02-040","critical","Seasonal",17.7570093457944,"Toad","Breeding/Eggs","Depth"
"6","slice1",2002,"L02-040","non_critical","Seasonal",67.5496688741722,"Toad","Breeding/Eggs","Depth"
"7","slice1",2002,"L02-040","critical","Seasonal",94.8598130841121,"Toad","Breeding/Eggs","Depth"
"8","slice1",2003,"L02-040","non_critical","Seasonal",42.7631578947368,"Toad","Breeding/Eggs","Depth"
"9","slice1",2003,"L02-040","critical","Seasonal",20.0934579439252,"Toad","Breeding/Eggs","Depth"
"10","slice1",2004,"L02-040","non_critical","Seasonal",96.0264900662252,"Toad","Breeding/Eggs","Depth"
"11","slice1",2004,"L02-040","critical","Seasonal",44.8598130841121,"Toad","Breeding/Eggs","Depth"
"12","slice1",2005,"L02-040","non_critical","Seasonal",71.523178807947,"Toad","Breeding/Eggs","Depth"
"13","slice1",2005,"L02-040","critical","Seasonal",98.1308411214953,"Toad","Breeding/Eggs","Depth"
"14","slice1",2006,"L02-040","non_critical","Seasonal",49.6688741721854,"Toad","Breeding/Eggs","Depth"
"15","slice1",2006,"L02-040","critical","Seasonal",47.196261682243,"Toad","Breeding/Eggs","Depth"
"16","slice1",2007,"L02-040","non_critical","Seasonal",95.3947368421053,"Toad","Breeding/Eggs","Depth"
"17","slice1",2007,"L02-040","critical","Seasonal",62.1495327102804,"Toad","Breeding/Eggs","Depth"
"18","slice1",2008,"L02-040","non_critical","Seasonal",82.1192052980132,"Toad","Breeding/Eggs","Depth"
"19","slice1",2008,"L02-040","critical","Seasonal",25.2336448598131,"Toad","Breeding/Eggs","Depth"
"20","slice1",2009,"L02-040","non_critical","Seasonal",49.0066225165563,"Toad","Breeding/Eggs","Depth"
"21","slice1",2009,"L02-040","critical","Seasonal",63.0841121495327,"Toad","Breeding/Eggs","Depth"
"22","slice1",2010,"L02-040","non_critical","Seasonal",91.3907284768212,"Toad","Breeding/Eggs","Depth"
"23","slice1",2010,"L02-040","critical","Seasonal",68.2242990654206,"Toad","Breeding/Eggs","Depth"
"24","slice1",2011,"L02-040","non_critical","Seasonal",53.2894736842105,"Toad","Breeding/Eggs","Depth"
"25","slice1",2011,"L02-040","critical","Seasonal",93.9252336448598,"Toad","Breeding/Eggs","Depth"
"26","slice1",2012,"L02-040","non_critical","Seasonal",92.7152317880795,"Toad","Breeding/Eggs","Depth"
"27","slice1",2012,"L02-040","critical","Seasonal",85.0467289719626,"Toad","Breeding/Eggs","Depth"
"28","slice1",2013,"L02-040","non_critical","Seasonal",76.158940397351,"Toad","Breeding/Eggs","Depth"
"29","slice1",2013,"L02-040","critical","Seasonal",43.4579439252336,"Toad","Breeding/Eggs","Depth"
"30","slice1",2014,"L02-040","non_critical","Seasonal",41.0596026490066,"Toad","Breeding/Eggs","Depth"
"31","slice1",2014,"L02-040","critical","Seasonal",71.9626168224299,"Toad","Breeding/Eggs","Depth"
"32","slice1",2015,"L02-040","non_critical","Seasonal",68.4210526315789,"Toad","Breeding/Eggs","Depth"
"33","slice1",2015,"L02-040","critical","Seasonal",18.8524590163934,"Toad","Breeding/Eggs","Depth"
"34","slice2",1999,"L02-040","critical","Seasonal",26.0869565217391,"Toad","Breeding/Eggs","Depth"
"35","slice2",2000,"L02-040","non_critical","Seasonal",24.5033112582781,"Toad","Breeding/Eggs","Depth"
"36","slice2",2000,"L02-040","critical","Seasonal",94.8598130841121,"Toad","Breeding/Eggs","Depth"
"37","slice2",2001,"L02-040","non_critical","Seasonal",75.4966887417219,"Toad","Breeding/Eggs","Depth"
"38","slice2",2001,"L02-040","critical","Seasonal",17.7570093457944,"Toad","Breeding/Eggs","Depth"
"39","slice2",2002,"L02-040","non_critical","Seasonal",67.5496688741722,"Toad","Breeding/Eggs","Depth"
"40","slice2",2002,"L02-040","critical","Seasonal",94.8598130841121,"Toad","Breeding/Eggs","Depth"
"41","slice2",2003,"L02-040","non_critical","Seasonal",42.7631578947368,"Toad","Breeding/Eggs","Depth"
"42","slice2",2003,"L02-040","critical","Seasonal",20.0934579439252,"Toad","Breeding/Eggs","Depth"
"43","slice2",2004,"L02-040","non_critical","Seasonal",88.0794701986755,"Toad","Breeding/Eggs","Depth"
"44","slice2",2004,"L02-040","critical","Seasonal",42.9906542056075,"Toad","Breeding/Eggs","Depth"
"45","slice2",2005,"L02-040","non_critical","Seasonal",71.523178807947,"Toad","Breeding/Eggs","Depth"
"46","slice2",2005,"L02-040","critical","Seasonal",98.1308411214953,"Toad","Breeding/Eggs","Depth"
"47","slice2",2006,"L02-040","non_critical","Seasonal",49.6688741721854,"Toad","Breeding/Eggs","Depth"
"48","slice2",2006,"L02-040","critical","Seasonal",47.196261682243,"Toad","Breeding/Eggs","Depth"
"49","slice2",2007,"L02-040","non_critical","Seasonal",95.3947368421053,"Toad","Breeding/Eggs","Depth"
"50","slice2",2007,"L02-040","critical","Seasonal",62.1495327102804,"Toad","Breeding/Eggs","Depth"
"51","slice2",2008,"L02-040","non_critical","Seasonal",82.1192052980132,"Toad","Breeding/Eggs","Depth"
"52","slice2",2008,"L02-040","critical","Seasonal",25.2336448598131,"Toad","Breeding/Eggs","Depth"
"53","slice2",2009,"L02-040","non_critical","Seasonal",49.0066225165563,"Toad","Breeding/Eggs","Depth"
"54","slice2",2009,"L02-040","critical","Seasonal",63.0841121495327,"Toad","Breeding/Eggs","Depth"
"55","slice2",2010,"L02-040","non_critical","Seasonal",90.0662251655629,"Toad","Breeding/Eggs","Depth"
"56","slice2",2010,"L02-040","critical","Seasonal",68.2242990654206,"Toad","Breeding/Eggs","Depth"
"57","slice2",2011,"L02-040","non_critical","Seasonal",53.2894736842105,"Toad","Breeding/Eggs","Depth"
"58","slice2",2011,"L02-040","critical","Seasonal",93.9252336448598,"Toad","Breeding/Eggs","Depth"
"59","slice2",2012,"L02-040","non_critical","Seasonal",92.7152317880795,"Toad","Breeding/Eggs","Depth"
"60","slice2",2012,"L02-040","critical","Seasonal",85.0467289719626,"Toad","Breeding/Eggs","Depth"
"61","slice2",2013,"L02-040","non_critical","Seasonal",76.158940397351,"Toad","Breeding/Eggs","Depth"
"62","slice2",2013,"L02-040","critical","Seasonal",43.4579439252336,"Toad","Breeding/Eggs","Depth"
"63","slice2",2014,"L02-040","non_critical","Seasonal",41.0596026490066,"Toad","Breeding/Eggs","Depth"
"64","slice2",2014,"L02-040","critical","Seasonal",71.9626168224299,"Toad","Breeding/Eggs","Depth"
"65","slice2",2015,"L02-040","non_critical","Seasonal",68.4210526315789,"Toad","Breeding/Eggs","Depth"
"66","slice2",2015,"L02-040","critical","Seasonal",18.8524590163934,"Toad","Breeding/Eggs","Depth"
"67","slice3",1999,"L02-040","critical","Seasonal",26.0869565217391,"Toad","Breeding/Eggs","Depth"
"68","slice3",2000,"L02-040","non_critical","Seasonal",24.5033112582781,"Toad","Breeding/Eggs","Depth"
"69","slice3",2000,"L02-040","critical","Seasonal",94.8598130841121,"Toad","Breeding/Eggs","Depth"
"70","slice3",2001,"L02-040","non_critical","Seasonal",75.4966887417219,"Toad","Breeding/Eggs","Depth"
"71","slice3",2001,"L02-040","critical","Seasonal",17.7570093457944,"Toad","Breeding/Eggs","Depth"
"72","slice3",2002,"L02-040","non_critical","Seasonal",67.5496688741722,"Toad","Breeding/Eggs","Depth"
"73","slice3",2002,"L02-040","critical","Seasonal",94.8598130841121,"Toad","Breeding/Eggs","Depth"
"74","slice3",2003,"L02-040","non_critical","Seasonal",42.7631578947368,"Toad","Breeding/Eggs","Depth"
"75","slice3",2003,"L02-040","critical","Seasonal",20.0934579439252,"Toad","Breeding/Eggs","Depth"
"76","slice3",2004,"L02-040","non_critical","Seasonal",96.0264900662252,"Toad","Breeding/Eggs","Depth"
"77","slice3",2004,"L02-040","critical","Seasonal",44.8598130841121,"Toad","Breeding/Eggs","Depth"
"78","slice3",2005,"L02-040","non_critical","Seasonal",71.523178807947,"Toad","Breeding/Eggs","Depth"
"79","slice3",2005,"L02-040","critical","Seasonal",98.1308411214953,"Toad","Breeding/Eggs","Depth"
"80","slice3",2006,"L02-040","non_critical","Seasonal",49.6688741721854,"Toad","Breeding/Eggs","Depth"
"81","slice3",2006,"L02-040","critical","Seasonal",47.196261682243,"Toad","Breeding/Eggs","Depth"
"82","slice3",2007,"L02-040","non_critical","Seasonal",95.3947368421053,"Toad","Breeding/Eggs","Depth"
"83","slice3",2007,"L02-040","critical","Seasonal",62.1495327102804,"Toad","Breeding/Eggs","Depth"
"84","slice3",2008,"L02-040","non_critical","Seasonal",82.1192052980132,"Toad","Breeding/Eggs","Depth"
"85","slice3",2008,"L02-040","critical","Seasonal",25.2336448598131,"Toad","Breeding/Eggs","Depth"
"86","slice3",2009,"L02-040","non_critical","Seasonal",49.0066225165563,"Toad","Breeding/Eggs","Depth"
"87","slice3",2009,"L02-040","critical","Seasonal",63.0841121495327,"Toad","Breeding/Eggs","Depth"
"88","slice3",2010,"L02-040","non_critical","Seasonal",91.3907284768212,"Toad","Breeding/Eggs","Depth"
"89","slice3",2010,"L02-040","critical","Seasonal",68.2242990654206,"Toad","Breeding/Eggs","Depth"
