"","position","water_year","Node","season","Probability_Threshold","value","Species","Life_Stage","Hydraulic"
"1","slice1",1999,"L02-050","critical","Seasonal",20.6521739130435,"Toad","Tadpole","Depth"
"2","slice1",2000,"L02-050","non_critical","Seasonal",17.8807947019868,"Toad","Tadpole","Depth"
"3","slice1",2000,"L02-050","critical","Seasonal",42.9906542056075,"Toad","Tadpole","Depth"
"4","slice1",2001,"L02-050","non_critical","Seasonal",48.3443708609272,"Toad","Tadpole","Depth"
"5","slice1",2001,"L02-050","critical","Seasonal",14.018691588785,"Toad","Tadpole","Depth"
"6","slice1",2002,"L02-050","non_critical","Seasonal",20.5298013245033,"Toad","Tadpole","Depth"
"7","slice1",2002,"L02-050","critical","Seasonal",61.214953271028,"Toad","Tadpole","Depth"
"8","slice1",2003,"L02-050","non_critical","Seasonal",34.2105263157895,"Toad","Tadpole","Depth"
"9","slice1",2003,"L02-050","critical","Seasonal",16.3551401869159,"Toad","Tadpole","Depth"
"10","slice1",2004,"L02-050","non_critical","Seasonal",86.0927152317881,"Toad","Tadpole","Depth"
"11","slice1",2004,"L02-050","critical","Seasonal",64.9532710280374,"Toad","Tadpole","Depth"
"12","slice1",2005,"L02-050","non_critical","Seasonal",35.0993377483444,"Toad","Tadpole","Depth"
"13","slice1",2005,"L02-050","critical","Seasonal",84.5794392523365,"Toad","Tadpole","Depth"
"14","slice1",2006,"L02-050","non_critical","Seasonal",31.7880794701987,"Toad","Tadpole","Depth"
"15","slice1",2006,"L02-050","critical","Seasonal",15.8878504672897,"Toad","Tadpole","Depth"
"16","slice1",2007,"L02-050","non_critical","Seasonal",56.578947368421,"Toad","Tadpole","Depth"
"17","slice1",2007,"L02-050","critical","Seasonal",19.6261682242991,"Toad","Tadpole","Depth"
"18","slice1",2008,"L02-050","non_critical","Seasonal",55.6291390728477,"Toad","Tadpole","Depth"
"19","slice1",2008,"L02-050","critical","Seasonal",17.7570093457944,"Toad","Tadpole","Depth"
"20","slice1",2009,"L02-050","non_critical","Seasonal",34.4370860927152,"Toad","Tadpole","Depth"
"21","slice1",2009,"L02-050","critical","Seasonal",23.3644859813084,"Toad","Tadpole","Depth"
"22","slice1",2010,"L02-050","non_critical","Seasonal",60.2649006622517,"Toad","Tadpole","Depth"
